PATCH_IDX,PATCH_CMD,BaseResRef,Sex,Race,InanimateType,Plot,LowGore
2056,REPLACE,snoworca_,4,14,****,0,****
2057,REPLACE,snoworcc_,4,14,****,0,****
2058,REPLACE,snoworcw_,4,14,****,0,****
2059,REPLACE,uraka_,4,14,****,0,****
2060,REPLACE,Orccaptain_,4,14,****,0,****
2061,REPLACE,orcf_,4,14,****,0,****
2062,REPLACE,vege_,4,52,****,0,****
2063,REPLACE,thorny_,4,52,****,0,****
2064,REPLACE,VegeThorn_,4,52,****,0,****
2065,REPLACE,shriek_,4,52,****,0,****
2066,REPLACE,zbeholder_,4,7,****,0,****
2067,REPLACE,G_Wasp_,4,25,****,0,****
2068,REPLACE,wm_f_01_,4,51,****,0,****
2069,REPLACE,wm_f_02_,4,51,****,0,****
2070,REPLACE,wm_f_03_,4,51,****,0,****
2071,REPLACE,wm_f_04_,4,51,****,0,****
2072,REPLACE,wm_m_01_,4,51,****,0,****
2073,REPLACE,wm_m_02_,4,51,****,0,****
2074,REPLACE,wm_m_03_,4,51,****,0,****
2075,REPLACE,wm_m_04_,4,51,****,0,****
2076,REPLACE,wm_m_05_,4,51,****,0,****
2077,REPLACE,cornugon_,4,20,****,0,****
2078,REPLACE,dr_m_04_,4,50,****,0,****
2079,REPLACE,dr_f_05_,4,50,****,0,****
2080,REPLACE,dr_m_05_,4,50,****,0,****
2081,REPLACE,dr_f_04_,4,50,****,0,****
2082,REPLACE,orca_frun_,4,14,****,0,****
2083,REPLACE,giascorp_,4,25,****,0,****
2084,REPLACE,giascorpa_,4,25,****,0,****
2085,REPLACE,giascorpb_,4,25,****,0,****
2086,REPLACE,giascorpc_,4,25,****,0,****
2087,REPLACE,maug_,4,10,****,0,****
2088,REPLACE,gmaug_,4,10,****,0,****
2089,REPLACE,spider_,4,10,****,0,****
2090,REPLACE,spiker_,4,10,****,0,****
2091,REPLACE,wasp_,4,10,****,0,****
2092,REPLACE,lolth_,4,20,****,0,****
2093,REPLACE,devilb_,4,20,****,0,****
2094,REPLACE,bugs_,4,25,****,0,****
2095,REPLACE,DrgLich_,4,11,****,0,****
2096,REPLACE,rustmon_,4,7,****,0,****
2097,REPLACE,Owlbear_,4,9,****,0,****
2098,REPLACE,cyclops_,4,18,****,0,****
2099,REPLACE,flayer_,4,7,****,0,****
2100,REPLACE,flayer2_,4,7,****,0,****
2101,REPLACE,flayer3_,4,7,****,0,****
2102,REPLACE,vip_fo_,4,8,****,0,****
2103,REPLACE,vip_de_,4,8,****,0,****
2104,REPLACE,vip_sw_,4,8,****,0,****
2105,REPLACE,vip_ju_,4,8,****,0,****
2106,REPLACE,hamatula_,4,20,****,0,****
2107,REPLACE,syren_,1,14,****,0,****
2108,REPLACE,Redback_,4,25,****,0,****
2109,REPLACE,g_antg_,4,25,****,0,****
2110,REPLACE,g_anthq_,4,25,****,0,****
2111,REPLACE,g_antl_,4,25,****,0,****
2112,REPLACE,g_antq_,4,25,****,0,****
2113,REPLACE,g_ants_,4,25,****,0,****
2114,REPLACE,barghest_,4,20,****,0,****
2115,REPLACE,dog_02_,4,8,****,0,****
2116,REPLACE,azer_,4,20,****,0,****
2117,REPLACE,zombie_,4,24,****,0,****
2118,REPLACE,stonegolem_,4,10,****,0,****
2119,REPLACE,flesh_,4,10,****,0,****
2120,REPLACE,orcwar_,4,14,****,0,****
2121,REPLACE,fire_01_,4,16,****,0,****
2122,REPLACE,oldmage_,4,15,****,0,****
2123,REPLACE,bearkodi_,4,8,****,0,****
2124,REPLACE,A_cow_,4,8,****,0,****
2125,REPLACE,urakorc_,4,14,****,0,****
2126,REPLACE,urakorca_,4,14,****,0,****
2127,REPLACE,golruby_,4,10,****,0,****
2128,REPLACE,golemrld_,4,10,****,0,****
2129,REPLACE,golcitrine_,4,10,****,0,****
2130,REPLACE,golsapp_,4,10,****,0,****
2131,REPLACE,golamet_,4,10,****,0,****
2132,REPLACE,golobsid_,4,10,****,0,****
2133,REPLACE,golhemat_,4,10,****,0,****
2134,REPLACE,goldiam_,4,10,****,0,****
2135,REPLACE,goltopaz_,4,10,****,0,****
2136,REPLACE,mummy_,4,24,****,0,****
2137,REPLACE,golmit1_,4,10,****,0,****
2138,REPLACE,golmit4_,4,10,****,0,****
2139,REPLACE,golmit5_,4,10,****,0,****
2140,REPLACE,arcbugba_,4,12,****,0,****
2141,REPLACE,arcbugchi_,4,12,****,0,****
2142,REPLACE,arcbugwiz_,4,12,****,0,****
2143,REPLACE,bonebat_,4,24,****,0,****
2144,REPLACE,lok_skred_,4,24,****,0,****
2145,REPLACE,lok_skflm_,4,24,****,0,****
2146,REPLACE,lok_skpur_,4,24,****,0,****
2147,REPLACE,lok_skyel_,4,24,****,0,****
2148,REPLACE,lok_skgrn_,4,24,****,0,****
2149,REPLACE,wendigo_,4,7,****,0,****
2150,REPLACE,Balrog_,4,20,****,0,****
2151,REPLACE,TrollocC_,4,13,****,0,****
2152,REPLACE,TrollocB_,4,13,****,0,****
2153,REPLACE,TrollocA_,4,13,****,0,****
2154,REPLACE,tiger_,4,8,****,0,****
2155,REPLACE,wtiger_,4,8,****,0,****
2156,REPLACE,bladeling_,4,20,****,0,****
2157,REPLACE,arthur_,4,6,****,0,****
2158,REPLACE,zerinyes3_,1,20,****,0,****
2159,REPLACE,skulk_f_,4,23,****,0,****
2160,REPLACE,skulk_m_,4,23,****,0,****
2161,REPLACE,drgfiend_,4,20,****,0,****
2162,REPLACE,zerinyes_,4,20,****,0,****
2163,REPLACE,vecna_,4,24,****,0,****
2164,REPLACE,crab_,4,8,****,0,****
2165,REPLACE,crabblue_,4,8,****,0,****
2166,REPLACE,hyena_,4,8,****,0,****
2167,REPLACE,shyena_,4,8,****,0,****
2168,REPLACE,raccoon_,4,8,****,0,****
2169,REPLACE,redpanda_,4,8,****,0,****
2170,REPLACE,dabus_1_,4,20,****,0,****
2171,REPLACE,gazelle_,4,8,****,0,****
2172,REPLACE,antelope_,4,8,****,0,****
2173,REPLACE,elemair_,4,16,****,0,****
2174,REPLACE,elemash_,4,16,****,0,****
2175,REPLACE,elemdus_,4,16,****,0,****
2176,REPLACE,elemear_,4,16,****,0,****
2177,REPLACE,elemfir_,4,16,****,0,****
2178,REPLACE,elemice_,4,16,****,0,****
2179,REPLACE,elemlig_,4,16,****,0,****
2180,REPLACE,elemmag_,4,16,****,0,****
2181,REPLACE,elemmin_,4,16,****,0,****
2182,REPLACE,elemooz_,4,16,****,0,****
2183,REPLACE,elemrad_,4,16,****,0,****
2184,REPLACE,elemsal_,4,16,****,0,****
2185,REPLACE,elemsmo_,4,16,****,0,****
2186,REPLACE,elemste_,4,16,****,0,****
2187,REPLACE,elemvac_,4,16,****,0,****
2188,REPLACE,elemwat_,4,16,****,0,****
2189,REPLACE,dobie_,4,8,****,0,****
2190,REPLACE,dobie2_,4,8,****,0,****
2191,REPLACE,husky_,4,8,****,0,****
2192,REPLACE,mastiff_,4,8,****,0,****
2193,REPLACE,puppy_,4,8,****,0,****
2194,REPLACE,puppy2_,4,8,****,0,****
2195,REPLACE,terrier_,4,8,****,0,****
2196,REPLACE,dalm_,4,8,****,0,****
2197,REPLACE,dalmpup_,4,8,****,0,****
2198,REPLACE,cooshee_,4,19,****,0,****
2199,REPLACE,glabrezu_,4,20,****,0,****
2200,REPLACE,blkwhtcat_,4,8,****,0,****
2201,REPLACE,darkcat_,4,8,****,0,****
2202,REPLACE,orngecat_,4,8,****,0,****
2203,REPLACE,kitten_,4,8,****,0,****
2204,REPLACE,kitten2_,4,8,****,0,****
2205,REPLACE,skunk_,4,8,****,0,****
2206,REPLACE,wolverine_,4,8,****,0,****
2207,REPLACE,Chimera_,4,19,****,0,****
2208,REPLACE,halfiendm_,4,20,****,0,****
2209,REPLACE,ogrillion_,4,18,****,0,****
2210,REPLACE,belker_,4,16,****,0,****
2211,REPLACE,bebilith_,4,20,****,0,****
2212,REPLACE,cyclopsB_,4,18,****,0,****
2213,REPLACE,mezz_,4,20,****,0,****
2214,REPLACE,cepsatyr_,4,13,****,0,****
2215,REPLACE,armand_,0,20,****,0,****
2216,REPLACE,shadeL_,4,24,****,0,****
2217,REPLACE,celestial_,0,20,****,0,****
2218,REPLACE,ferret_,4,8,****,0,****
2219,REPLACE,fisher_,4,8,****,0,****
2220,REPLACE,icespider_,4,25,****,0,****
2221,REPLACE,ganger_,4,10,****,0,****
2222,REPLACE,hoodshade_,4,24,****,0,****
2223,REPLACE,vorlan_,4,20,****,0,****
2224,REPLACE,eagle_,4,8,****,0,****
2225,REPLACE,halfiendf_,4,20,****,0,****
2226,REPLACE,panda_,4,8,****,0,****
2227,REPLACE,slothbear_,4,8,****,0,****
2228,REPLACE,spectbear_,4,8,****,0,****
2229,REPLACE,tieflingf_,4,20,****,0,****
2230,REPLACE,cornugonB_,4,20,****,0,****
2231,REPLACE,sormen_,0,20,****,0,****
2232,REPLACE,fbook_,4,7,****,0,****
2233,REPLACE,irieni_,1,6,****,0,****
2234,REPLACE,fell_,0,20,****,0,****
2235,REPLACE,hsphinx_,4,19,****,0,****
2236,REPLACE,hwraith_,4,24,****,0,****
2237,REPLACE,dusty_F_,0,6,****,0,****
2238,REPLACE,skeldoll_,4,24,****,0,****
2239,REPLACE,skeldwf_,4,24,****,0,****
2240,REPLACE,skelogr_,4,24,****,0,****
2241,REPLACE,skelpr1_,4,24,****,0,****
2242,REPLACE,skelpr2_,4,24,****,0,****
2243,REPLACE,zombpr1_,4,24,****,0,****
2244,REPLACE,zombpr2_,4,24,****,0,****
2245,REPLACE,ghostpr_,4,24,****,0,****
2246,REPLACE,slime_blk_,4,29,****,0,****
2247,REPLACE,slime_brn_,4,29,****,0,****
2248,REPLACE,slime_dun_,4,29,****,0,****
2249,REPLACE,slime_grn_,4,29,****,0,****
2250,REPLACE,slime_gry_,4,29,****,0,****
2251,REPLACE,slime_wht_,4,29,****,0,****
2252,REPLACE,slime_ylw_,4,29,****,0,****
2253,REPLACE,slime_clr_,4,29,****,0,****
2254,REPLACE,dw_m_501_,0,0,****,0,****
2255,REPLACE,dw_m_502_,0,0,****,0,****
2256,REPLACE,dw_m_503_,0,0,****,0,****
2257,REPLACE,dw_m_504_,0,0,****,0,****
2258,REPLACE,el_m_501_,0,1,****,0,****
2259,REPLACE,el_m_502_,0,1,****,0,****
2260,REPLACE,el_m_503_,0,1,****,0,****
2261,REPLACE,el_m_504_,0,1,****,0,****
2262,REPLACE,el_m_505_,0,1,****,0,****
2263,REPLACE,el_m_506_,0,1,****,0,****
2264,REPLACE,el_f_501_,1,1,****,0,****
2265,REPLACE,el_f_502_,1,1,****,0,****
2266,REPLACE,el_f_503_,1,1,****,0,****
2267,REPLACE,el_f_504_,1,1,****,0,****
2268,REPLACE,el_f_505_,1,1,****,0,****
2269,REPLACE,el_f_506_,1,1,****,0,****
2270,REPLACE,el_f_507_,1,1,****,0,****
2271,REPLACE,el_f_508_,1,1,****,0,****
2272,REPLACE,el_f_509_,1,1,****,0,****
2273,REPLACE,el_f_510_,1,1,****,0,****
2274,REPLACE,el_f_511_,1,1,****,0,****
2275,REPLACE,el_f_512_,1,1,****,0,****
2276,REPLACE,el_f_513_,1,1,****,0,****
2277,REPLACE,el_f_514_,1,1,****,0,****
2278,REPLACE,el_f_515_,1,1,****,0,****
2279,REPLACE,el_f_516_,1,1,****,0,****
2280,REPLACE,el_f_517_,1,1,****,0,****
2281,REPLACE,el_f_518_,1,1,****,0,****
2282,REPLACE,el_f_519_,1,1,****,0,****
2283,REPLACE,gn_m_501_,0,2,****,0,****
2284,REPLACE,gn_m_502_,0,2,****,0,****
2285,REPLACE,gn_f_501_,1,2,****,0,****
2286,REPLACE,ha_m_501_,0,3,****,0,****
2287,REPLACE,ha_m_502_,0,3,****,0,****
2288,REPLACE,ha_m_503_,0,3,****,0,****
2289,REPLACE,ha_f_501_,1,3,****,0,****
2290,REPLACE,ha_f_502_,1,3,****,0,****
2291,REPLACE,ha_f_503_,1,3,****,0,****
2292,REPLACE,or_m_501_,0,5,****,0,****
2293,REPLACE,or_m_502_,0,5,****,0,****
2294,REPLACE,or_m_503_,0,5,****,0,****
2295,REPLACE,or_m_504_,0,5,****,0,****
2296,REPLACE,or_m_505_,0,5,****,0,****
2297,REPLACE,hu_m_501_,0,6,****,0,****
2298,REPLACE,hu_m_502_,0,6,****,0,****
2299,REPLACE,hu_m_503_,0,6,****,0,****
2300,REPLACE,hu_m_504_,0,6,****,0,****
2301,REPLACE,hu_m_505_,0,6,****,0,****
2302,REPLACE,hu_m_506_,0,6,****,0,****
2303,REPLACE,hu_m_507_,0,6,****,0,****
2304,REPLACE,hu_m_508_,0,6,****,0,****
2305,REPLACE,hu_m_509_,0,6,****,0,****
2306,REPLACE,hu_m_510_,0,6,****,0,****
2307,REPLACE,hu_m_511_,0,6,****,0,****
2308,REPLACE,hu_m_512_,0,6,****,0,****
2309,REPLACE,hu_m_513_,0,6,****,0,****
2310,REPLACE,hu_m_514_,0,6,****,0,****
2311,REPLACE,hu_m_515_,0,6,****,0,****
2312,REPLACE,hu_m_516_,0,6,****,0,****
2313,REPLACE,hu_m_517_,0,6,****,0,****
2314,REPLACE,hu_m_518_,0,6,****,0,****
2315,REPLACE,hu_m_519_,0,6,****,0,****
2316,REPLACE,hu_m_520_,0,6,****,0,****
2317,REPLACE,hu_m_521_,0,6,****,0,****
2318,REPLACE,hu_m_522_,0,6,****,0,****
2319,REPLACE,hu_m_523_,0,6,****,0,****
2320,REPLACE,hu_m_524_,0,6,****,0,****
2321,REPLACE,hu_m_525_,0,6,****,0,****
2322,REPLACE,hu_m_526_,0,6,****,0,****
2323,REPLACE,hu_m_527_,0,6,****,0,****
2324,REPLACE,hu_m_528_,0,6,****,0,****
2325,REPLACE,hu_m_529_,0,6,****,0,****
2326,REPLACE,hu_m_530_,0,6,****,0,****
2327,REPLACE,hu_f_501_,1,6,****,0,****
2328,REPLACE,hu_f_502_,1,6,****,0,****
2329,REPLACE,hu_f_503_,1,6,****,0,****
2330,REPLACE,hu_f_504_,1,6,****,0,****
2331,REPLACE,hu_f_505_,1,6,****,0,****
2332,REPLACE,hu_f_506_,1,6,****,0,****
2333,REPLACE,hu_f_507_,1,6,****,0,****
2334,REPLACE,hu_f_508_,1,6,****,0,****
2335,REPLACE,hu_f_509_,1,6,****,0,****
2336,REPLACE,hu_f_510_,1,6,****,0,****
2337,REPLACE,hu_f_511_,1,6,****,0,****
2338,REPLACE,hu_f_512_,1,6,****,0,****
2339,REPLACE,hu_f_513_,1,6,****,0,****
2340,REPLACE,hu_f_514_,1,6,****,0,****
2341,REPLACE,hu_f_515_,1,6,****,0,****
2342,REPLACE,hu_f_516_,1,6,****,0,****
2343,REPLACE,hu_f_517_,1,6,****,0,****
2344,REPLACE,hu_f_518_,1,6,****,0,****
2345,REPLACE,hu_f_519_,1,6,****,0,****
2346,REPLACE,hu_f_520_,1,6,****,0,****
2347,REPLACE,hu_f_521_,1,6,****,0,****
2348,REPLACE,hu_f_522_,1,6,****,0,****
2349,REPLACE,hu_f_523_,1,6,****,0,****
2350,REPLACE,hu_f_524_,1,6,****,0,****
2351,REPLACE,hu_f_525_,1,6,****,0,****
2352,REPLACE,hu_f_526_,1,6,****,0,****
2353,REPLACE,aberr501_,4,7,****,0,****
2354,REPLACE,aberr502_,4,7,****,0,****
2355,REPLACE,aberr503_,4,7,****,0,****
2356,REPLACE,outsider501_,4,20,****,0,****
2357,REPLACE,outsider502_,4,20,****,0,****
2358,REPLACE,outsider503_,4,20,****,0,****
2359,REPLACE,oschore_,4,20,****,0,****
2360,REPLACE,undead501_,4,24,****,0,****
2361,REPLACE,undead502_,4,24,****,0,****
2362,REPLACE,undead503_,4,24,****,0,****
2363,REPLACE,undead504_,4,24,****,0,****
2364,REPLACE,dabuus_,4,20,****,0,****
2365,REPLACE,el_m_508_,0,1,****,0,****
2366,REPLACE,el_m_509_,0,1,****,0,****
2367,REPLACE,el_m_510_,0,1,****,0,****
2368,REPLACE,glamis_,0,20,****,0,****
2369,REPLACE,gn_m_503_,0,2,****,0,****
2370,REPLACE,hu_f_527_,1,6,****,0,****
2371,REPLACE,hu_f_528_,1,6,****,0,****
2372,REPLACE,hu_f_529_,1,6,****,0,****
2373,REPLACE,golblrk_,4,10,****,0,****
2374,REPLACE,hu_m_532_,0,6,****,0,****
2375,REPLACE,hu_m_533_,0,6,****,0,****
2376,REPLACE,or_m_506_,0,5,****,0,****
2377,REPLACE,annis_,4,7,****,0,****
2378,REPLACE,grnhag_,4,7,****,0,****
2379,REPLACE,nithag_,4,20,****,0,****
2380,REPLACE,dtyrant_,4,24,****,0,****
2381,REPLACE,Pygmy_A_,0,6,****,0,****
2382,REPLACE,Pygmy_B_,0,6,****,0,****
2383,REPLACE,Pygmy_C_,0,6,****,0,****
2384,REPLACE,Pygmy_D_,0,6,****,0,****
2385,REPLACE,KenkuBlu_,0,8,****,0,****
2386,REPLACE,KenkuOvrct_,0,8,****,0,****
2387,REPLACE,KenkuFem_,1,8,****,0,****
2388,REPLACE,kenku_a_,4,8,****,0,****
2389,REPLACE,kenku_b_,4,8,****,0,****
2390,REPLACE,monodrone_,1,20,****,0,****
2391,REPLACE,monkey_,4,8,****,0,****
2392,REPLACE,kuotoa_,4,20,****,0,****
2393,REPLACE,marid04_,4,16,****,0,****
2394,REPLACE,Ice_,4,16,****,0,****
2395,REPLACE,ayala_,1,20,****,1,****
2396,REPLACE,ad_boxhouse_,4,****,1,0,****
2397,REPLACE,quadrone_,1,20,****,0,****
2398,REPLACE,phod_tua_,4,10,****,0,****
2399,REPLACE,phod_tembod_,4,19,****,0,****
2400,REPLACE,phod_tembom_,4,19,****,0,****
2401,REPLACE,dcp01_,4,****,4,****,****
2402,REPLACE,dcp02_,4,****,1,****,****
2403,REPLACE,dcp03_,4,****,1,****,****
2404,REPLACE,dcp04_,4,****,1,****,****
2405,REPLACE,dcp05_,4,****,1,****,****
2406,REPLACE,dcp06_,4,****,1,****,****
2407,REPLACE,dcp07_,4,****,1,****,****
2408,REPLACE,dcp08_,4,****,1,****,****
2409,REPLACE,dcp09_,4,****,4,****,****
2410,REPLACE,dcp10_,4,****,4,****,****
2411,REPLACE,dcp11_,4,****,4,****,****
2412,REPLACE,dcp12_,4,****,4,****,****
2413,REPLACE,dcp13_,4,****,4,****,****
2414,REPLACE,dcp14_,4,****,4,****,****
2415,REPLACE,PLC_tbiburn_,4,****,3,****,****
2416,REPLACE,dcp16_,4,****,4,****,****
2417,REPLACE,dcp17_,4,****,4,****,****
2418,REPLACE,dcp18_,4,****,4,****,****
2419,REPLACE,dcp19_,4,****,4,****,****
2420,REPLACE,dcp20_,4,****,4,****,****
2421,REPLACE,dcp21_,4,****,4,****,****
2422,REPLACE,dcp22_,4,****,4,****,****
2423,REPLACE,dcp23_,4,****,4,****,****
2424,REPLACE,dcp24_,4,****,4,****,****
2425,REPLACE,dcp25_,4,****,4,****,****
2426,REPLACE,dcp26_,4,****,4,****,****
2427,REPLACE,dcp27_,4,****,4,****,****
2428,REPLACE,dcp28_,4,****,4,****,****
2429,REPLACE,dcp29_,4,****,4,****,****
2430,REPLACE,dcp30_,4,****,4,****,****
2431,REPLACE,dcp31_,4,****,4,****,****
2432,REPLACE,dcp32_,4,****,4,****,****
2433,REPLACE,dcp33_,4,****,4,****,****
2434,REPLACE,dcp34_,4,****,4,****,****
2435,REPLACE,dcp35_,4,****,4,****,****
2436,REPLACE,dcp36_,4,****,4,****,****
2437,REPLACE,dcp37_,4,****,4,****,****
2438,REPLACE,dcp38_,4,****,4,****,****
2439,REPLACE,PLC_tbbasin_,4,****,3,****,****
2440,REPLACE,dcp40_,4,****,4,****,****
2441,REPLACE,dcp41_,4,****,4,****,****
2442,REPLACE,dcp42_,4,****,4,****,****
2443,REPLACE,dcp43_,4,****,4,****,****
2444,REPLACE,dcp44_,4,****,4,****,****
2445,REPLACE,dcp45_,4,****,4,****,****
2446,REPLACE,dcp46_,4,****,4,****,****
2447,REPLACE,dcp47_,4,****,4,****,****
2448,REPLACE,dcp48_,4,****,4,****,****
2449,REPLACE,dcp49_,4,****,4,****,****
2450,REPLACE,dcp50_,4,****,4,****,****
2451,REPLACE,dcp51_,4,****,4,****,****
2452,REPLACE,dcp52_,4,****,4,****,****
2453,REPLACE,dcp53_,4,****,4,****,****
2454,REPLACE,dcp54_,4,****,4,****,****
2455,REPLACE,dcp55_,4,****,4,****,****
2456,REPLACE,dcp56_,4,****,4,****,****
2457,REPLACE,dcp57_,4,****,4,****,****
2458,REPLACE,dcp58_,4,****,4,****,****
2459,REPLACE,dcp59_,4,****,4,****,****
2460,REPLACE,dcp60_,4,****,4,****,****
2461,REPLACE,dcp61_,4,****,4,****,****
2462,REPLACE,dcp62_,4,****,4,****,****
2463,REPLACE,dcp63_,4,****,4,****,****
2464,REPLACE,dcp64_,4,****,4,****,****
2465,REPLACE,dcp65_,4,****,4,****,****
2466,REPLACE,dcp66_,4,****,4,****,****
2467,REPLACE,dcp67_,4,****,4,****,****
2468,REPLACE,dcp68_,4,****,4,****,****
2469,REPLACE,dcp69_,4,****,4,****,****
2470,REPLACE,dcp70_,4,****,4,****,****
2471,REPLACE,dcp71_,4,****,4,****,****
2472,REPLACE,dcp72_,4,****,4,****,****
2473,REPLACE,dcp73_,4,****,4,****,****
2474,REPLACE,dcp74_,4,****,4,****,****
2475,REPLACE,dcp75_,4,****,4,****,****
2476,REPLACE,dcp76_,4,****,4,****,****
2477,REPLACE,dcp77_,4,****,4,****,****
2478,REPLACE,dcp78_,4,****,4,****,****
2479,REPLACE,dcp79_,4,****,4,****,****
2480,REPLACE,dcp80_,4,****,4,****,****
2481,REPLACE,dcp81_,4,****,4,****,****
2482,REPLACE,dcp82_,4,****,4,****,****
2483,REPLACE,dcp83_,4,****,4,****,****
2484,REPLACE,dcp84_,4,****,4,****,****
2485,REPLACE,dcp85_,4,****,4,****,****
2486,REPLACE,dcp86_,4,****,4,****,****
2487,REPLACE,dcp87_,4,****,4,****,****
2488,REPLACE,dcp88_,4,****,4,****,****
2489,REPLACE,dcp89_,4,****,4,****,****
2490,REPLACE,dcp90_,4,****,4,****,****
2491,REPLACE,dcp91_,4,****,4,****,****
2492,REPLACE,dcp92_,4,****,4,****,****
2493,REPLACE,dcp93_,4,****,4,****,****
2494,REPLACE,dcp94_,4,****,4,****,****
2495,REPLACE,dcp95_,4,****,4,****,****
2496,REPLACE,dcp96_,4,****,4,****,****
2497,REPLACE,dcp97_,4,****,4,****,****
2498,REPLACE,dcp98_,4,****,4,****,****
2499,REPLACE,dcp99_,4,****,4,****,****
2500,REPLACE,LeanTo1_,4,****,1,****,****
2501,REPLACE,LeanTo2_,4,****,1,****,****
2502,REPLACE,Shack1_,4,****,1,****,****
2503,REPLACE,Shack2_,4,****,1,****,****
2504,REPLACE,TentLg_,4,****,1,****,****
2505,REPLACE,TentMed_,4,****,1,****,****
2506,REPLACE,TentSml_,4,****,1,****,****
2507,REPLACE,TentXLg_,4,****,1,****,****
2508,REPLACE,PLC_cc_,4,****,3,****,****
2509,REPLACE,dBrlB1_,4,****,1,****,****
2510,REPLACE,dBrlB2_,4,****,1,****,****
2511,REPLACE,dBrlB3_,4,****,1,****,****
2512,REPLACE,dBrlB4_,4,****,1,****,****
2513,REPLACE,dChrB1_,4,****,1,****,****
2514,REPLACE,dChrB2_,4,****,1,****,****
2515,REPLACE,dChrB3_,4,****,1,****,****
2516,REPLACE,dChrU1_,4,****,1,****,****
2517,REPLACE,dChrU2_,4,****,1,****,****
2518,REPLACE,dChrU3_,4,****,1,****,****
2519,REPLACE,dDr1B1_,4,****,1,****,****
2520,REPLACE,dDr1B2_,4,****,1,****,****
2521,REPLACE,dDrsrB1_,4,****,1,****,****
2522,REPLACE,dDrsrU1_,4,****,1,****,****
2523,REPLACE,dDrsrU2_,4,****,1,****,****
2524,REPLACE,dPlt1B1_,4,****,1,****,****
