PATCH_IDX,PATCH_CMD,Label,Type_FD,OrientWithGround,Imp_HeadCon_Node,Imp_Impact_Node,Imp_Root_S_Node,Imp_Root_M_Node,Imp_Root_L_Node,Imp_Root_H_Node,ProgFX_Impact,SoundImpact,ProgFX_Duration,SoundDuration,ProgFX_Cessation,SoundCessastion,Ces_HeadCon_Node,Ces_Impact_Node,Ces_Root_S_Node,Ces_Root_M_Node,Ces_Root_L_Node,Ces_Root_H_Node,ShakeType,ShakeDelay,ShakeDuration,LowViolence,LowQuality,OrientWithObject
730,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
731,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
732,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
733,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
734,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
735,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
736,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
737,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
738,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
739,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
740,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
741,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
742,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
743,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
744,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
745,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
746,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
747,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
748,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
749,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
750,REPLACE,PADDING,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
751,REPLACE,CEPVFX_IMP_LOK_AFK,D,0,vim_lok_afk,****,****,****,****,****,****,sim_magsleep,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
752,REPLACE,PRCVFX_IMP_PWBLIND,F,0,****,vim_pwblind,****,****,****,****,****,sff_explstun,****,****,****,****,****,****,****,****,****,****,0,0,0,****,****,0
753,REPLACE,PRCVFX_IMP_RED_MISSILE,P,0,****,vpr_redmisl,****,****,****,****,900,****,****,spr_magicmissile,****,****,****,****,****,****,****,****,****,****,****,****,****,0
754,REPLACE,PRCVFX_IMP_MAGRED_1,F,0,****,vim_magred,****,****,****,****,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
755,REPLACE,PRCVFX_IMP_ICEWHIP,F,0,****,vim_lashice,****,****,****,****,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
756,REPLACE,PRCVFX_IMP_GREEN_MISSILE,P,0,****,vpr_acidmisl,****,****,****,****,900,****,****,spr_magicmissile,****,****,****,****,****,****,****,****,****,****,****,****,****,0
757,REPLACE,PRCVFX_IMP_NEGBLAST_ENERGY,F,0,****,vim_negblast,****,****,****,****,****,sim_negative,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
758,REPLACE,PRCVFX_DUR_PRISMATIC_SPHERE,D,0,****,****,****,vdr_prismsphere,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
759,REPLACE,PRCVFX_FNF_NEWWORD,F,0,****,****,****,vff_newword,****,****,****,sff_explword,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,vff_newword_L,0
760,REPLACE,PRCVFX_DUR_BIGBYS_BIGBLUE_HAND,F,0,****,****,****,vdr_blue_hand2,****,****,****,sim_shwngelec01,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
761,REPLACE,PRCVFX_FNF_AWAKEN,F,0,****,****,****,vim_awaken,vim_awaken,vim_awaken,****,sdr_premo,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
762,REPLACE,PRCVFX_FNF_CHAOSHAMMER,F,0,****,vim_chaoham,****,****,****,****,****,sff_expddevil30,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
763,REPLACE,PRCVFX_FNF_FREEZING_SPHERE,F,0,****,****,****,vff_explice,****,****,****,sim_shwngcold01,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,vff_explice,0
764,REPLACE,PRCVFX_DUR_MAZE,D,0,****,****,vim_maze,****,****,****,****,sim_strkholy,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
765,REPLACE,PRCVFX_DUR_CHILL_SHIELD,D,0,****,****,****,vdr_coldshield,vdr_colshield02,vdr_colshield03,****,sdr_eleshield,****,sdr_eleshieldlp,****,****,****,****,****,****,****,****,****,****,****,****,****,0
766,REPLACE,PRCVFX_FNF_DRAGON_STRIKE,F,0,****,vff_dragstrike,****,****,****,****,****,sff_hellball,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
767,REPLACE,PRCVFX_DUR_SHADOWS_ANTILIGHT,D,0,****,****,****,vdr_drkshadows,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
768,REPLACE,PRCVFX_DUR_PROTECTION_ARROWS,D,0,****,****,****,vdr_protarrows,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
769,REPLACE,PRCVFX_FNF_HELLFIRE,F,0,****,****,****,vim_hellfire,****,****,****,sff_explfire,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,****,0
770,REPLACE,PRCVFX_FNF_HELLFIRESTORM,F,0,****,****,****,vim_hellfirestrm,****,****,****,sff_explfire,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,****,0
771,REPLACE,PRCVFX_DUR_BLUESHIELDPROTECT,D,0,****,vdr_blueshield,****,****,****,****,****,spr_los,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
772,REPLACE,PRCVFX_IMP_REGENERATE_IMPACT,F,0,****,vff_sp_regen,****,****,****,****,****,sim_strkholy,****,****,****,sca_outholy01,****,****,****,****,****,****,****,****,****,****,****,0
773,REPLACE,PRCVFX_FNF_BATSGIB,F,****,****,vim_batsgib,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
774,REPLACE,PRCVFX_DUR_STORM_OF_VENGEANCE,D,0,****,****,****,vdr_stormofven,****,****,****,sps_storm,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
775,REPLACE,PRCVFX_IMP_FREEDOM,F,0,****,vim_freedom,****,****,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
776,REPLACE,PRCVFX_IMP_DIMENSIONDOOR_IN,F,****,****,****,****,****,****,vim_dimdoor2,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
777,REPLACE,PRCVFX_IMP_DIMENSIONDOOR_OUT,F,****,****,****,****,****,****,vim_dimdoor3,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
778,REPLACE,PRCVFX_DUR_ANTILIFE_SHELL,D,0,****,****,****,vdr_antilife,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
779,REPLACE,PRCVFX_DUR_LIGHTNING_SHELL,D,0,****,vdr_lightningbl,****,****,****,****,****,sff_expddholy30,****,****,****,sca_outholy01,****,****,****,****,****,****,****,****,****,****,****,0
780,REPLACE,PRCVFX_IMP_DISINTEGRATION_1,F,0,****,****,****,****,****,vim_disentigrate,****,sim_destruct,****,****,****,sca_outholy01,****,****,****,****,****,****,****,****,****,****,****,0
781,REPLACE,PRCVFX_IMP_DIMENSIONANCHOR,F,0,****,vim_dimanchor,****,****,****,****,****,sim_destruct,****,****,****,sca_outholy01,****,****,****,****,****,****,2,1.3,1,****,****,0
782,REPLACE,PRCVFX_IMP_DIMENSIONLOCK,F,0,****,vim_dimlock,****,****,****,****,****,sff_expldisp,****,****,****,sca_outholy01,****,****,****,****,****,****,2,1.3,1,****,****,0
783,REPLACE,PRCVFX_FNF_GLITTERDUST,F,0,****,vim_glitterdust,****,****,****,****,****,sim_healcond,****,****,****,sca_outholy01,****,****,****,****,****,****,****,****,****,****,****,0
784,REPLACE,PRCVFX_FNF_INSANITY,F,0,vim_insanity,****,****,****,****,****,****,sco_wraith,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
785,REPLACE,PRCVFX_IMP_IMPRISONMENT,F,0,****,vim_imprison,****,****,****,****,****,sce_negative,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
786,REPLACE,PRCVFX_DUR_PROTECTION_ENERGY_ACID,D,0,****,****,****,vdr_pfe_acid,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
787,REPLACE,PRCVFX_DUR_PROTECTION_ENERGY_COLD,D,0,****,vdr_pfe_cold,****,****,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
788,REPLACE,PRCVFX_DUR_PROTECTION_ENERGY_FIRE,D,0,****,vdr_pfe_fire,****,****,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
789,REPLACE,PRCVFX_DUR_PROTECTION_ENERGY_ELEC,D,0,****,vdr_pfe_elect,****,****,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
790,REPLACE,PRCVFX_DUR_PROTECTION_ENERGY_SONIC,D,0,vdr_pfe_sonic,****,****,****,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
791,REPLACE,PRCVFX_DUR_PRISMATIC_WALL,D,0,****,****,****,vdr_prismwall,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
792,REPLACE,PRCVFX_FNF_FEEBLEMIND,F,0,vff_feeblemind,****,****,****,****,****,****,sim_negabil,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
793,REPLACE,PRCVFX_FNF_SUMMON_NATURES_ALLY_1,F,0,****,vim_sum_nally1,****,****,****,****,****,sco_wraith,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
794,REPLACE,PRCVFX_FNF_MAGIC_WEAPON,F,0,vim_magweapon,****,****,****,****,****,****,sco_lgrinmind01,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
795,REPLACE,PRCVFX_FNF_DEATH_WATCH,F,0,vim_deathwatch,****,****,****,****,****,****,sdr_magsee,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
796,REPLACE,PRCVFX_IMP_FAERIE_FIRE,F,0,****,****,****,vim_faerfire,****,****,****,sce_neutral,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
797,REPLACE,PRCVFX_DUR_RESISTANCE,D,0,vdr_sp_resist,****,****,****,****,****,****,sim_protelem,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
798,REPLACE,PRCVFX_IMP_EPIC_GEM_EMERALD,F,0,****,****,****,vim_epicgem,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
799,REPLACE,PRCVFX_IMP_EPIC_GEM_SAPPHIRE,F,0,****,****,****,vim_epicgemb,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
800,REPLACE,PRCVFX_IMP_EPIC_GEM_DIAMOND,F,0,****,****,****,vim_epicgemd,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
801,REPLACE,PRCVFX_AOE_DESECRATE_20_2,D,0,****,****,****,smp_desecrate20,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
802,REPLACE,PRCVFX_AOE_DESECRATE_100_2,D,0,****,****,****,smp_desecrate100,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
803,REPLACE,PRCVFX_AOE_CONSECRATE_20,D,0,****,****,****,smp_consecrate20,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
804,REPLACE,PRCVFX_AOE_DESECRATE,D,0,****,****,****,smp_desecrate,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
805,REPLACE,PRCVFX_IMP_TORNADO,F,0,****,****,****,vim_heal03,****,****,****,sim_shwngodd1,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
806,REPLACE,PRCVFX_FNF_HELLFIRE_2,F,0,****,****,****,vim_hellfire,****,****,****,sff_explfire,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,****,0
807,REPLACE,PRCVFX_FNF_HELLFIRESTORM_2,F,0,****,****,****,vim_hellfirestrm,****,****,****,sff_explfire,****,****,****,****,****,****,****,****,****,****,2,0,0.3,****,****,0
808,REPLACE,PRCVFX_DUR_BAELNEYES,D,0,vdr_baelneyes,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
809,REPLACE,PRCVFX_IMP_EPIC_GEM_EMERALD_2,F,0,****,****,****,vim_epicgem,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
810,REPLACE,PRCVFX_IMP_EPIC_GEM_SAPPHIRE_2,F,0,****,****,****,vim_epicgemb,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
811,REPLACE,PRCVFX_IMP_EPIC_GEM_DIAMOND_2,F,0,****,****,****,vim_epicgemd,****,****,****,sff_explnature,****,****,****,****,****,****,****,****,****,****,2,2,2,****,****,0
812,REPLACE,PRCVFX_FNF_EARTHQUAKE,F,0,****,****,****,prc_earthquake,****,****,****,sff_hellball,****,****,****,****,****,****,****,****,****,****,2,0.1,3.4,****,****,0
813,REPLACE,PRCVFX_IMP_ULTRABLAST,F,0,****,****,****,psi_ultrablst,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
814,REPLACE,PRCVFX_DUR_TIMELESS_BODY,D,0,****,****,psi_notimebody,psi_notimebody,psi_notimebody,psi_notimebody,****,sim_magsuper,****,sdr_globemaxlp,****,****,****,****,****,****,****,****,****,****,****,****,****,0
815,REPLACE,PRCVFX_DUR_TEMPORAL_ACCELERATION,D,0,****,psi_tempaccel,****,****,****,****,****,sim_magsuper,****,sdr_globemaxlp,****,****,****,****,****,****,****,****,****,****,****,****,****,1
816,REPLACE,PRCVFX_DUR_SHADOW_BODY,D,0,****,****,psi_shadbody,psi_shadbody,psi_shadbody,psi_shadbody,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
817,REPLACE,PRCVFX_FNF_PSYCHIC_CRUSH,D,0,****,psi_psycrush,****,****,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
818,REPLACE,PRCVFX_DUR_FLEETNESS_OF_FOOT,D,0,****,epic_fleetfoot,****,****,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
819,REPLACE,PRCVFX_DUR_ENERGY_ADAPTATION_ALL,D,0,****,****,psi_eneradapt,psi_eneradapt,psi_eneradapt,psi_eneradapt,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
820,REPLACE,CEPVFX_DUR_MUSICAL,D,0,****,vfx_banjo,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
821,REPLACE,PRCVFX_IMP_SPELLFAIL_FLAME,F,0,****,****,****,vim_spellf_exp2f,****,****,****,sim_exp2flame,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
822,REPLACE,PRCVFX_IMP_SPELLFAIL_HEAL,F,0,****,****,****,vim_spellf_heal,****,****,****,sim_protmagic,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
823,REPLACE,PRCVFX_BEAM_SPELLFIRE,B,0,****,****,****,****,****,****,****,****,602,sim_rayfire,****,****,****,****,****,****,****,****,****,****,****,****,****,0
824,REPLACE,PRCVFX_FNF_CRISIS_OF_LIFE,F,0,****,psi_crisislife,****,****,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
825,REPLACE,PRCVFX_FNF_RECALL_AGONY,F,0,****,psi_reagony,****,****,****,****,****,sim_magsuper,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
826,REPLACE,PRCVFX_DUR_SYNESTHETE,D,0,psi_synesthete,****,****,****,****,****,****,sim_magsee,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
827,REPLACE,PRCVFX_IMP_CONCUSSION_BLAST,F,0,****,psi_concblst_im,****,****,****,****,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
828,REPLACE,PRCVFX_DUR_BURST_PURPLE,D,0,****,****,psi_burst,psi_burst,psi_burst,psi_burst,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
829,REPLACE,PRCVFX_FNF_PSYCHIC_CHIRURGY,F,0,****,****,psi_psychirurgy,psi_psychirurgy,psi_psychirurgy,psi_psychirurgy,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
830,REPLACE,PRCVFX_FNF_ASTRAL_SEED,F,0,****,psi_astralseed,****,****,****,****,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,1
831,REPLACE,PRCVFX_DUR_INTELLECT_FORTRESS,D,0,****,****,psi_intelfort,psi_intelfort,psi_intelfort,psi_intelfort,****,sim_magblue,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0
