PATCH_IDX,PATCH_CMD,LABEL,MODEL,ENVMAP
58,REPLACE,"Horse: Black, scale barding",c_horse4c2,default
59,REPLACE,"Horse: Black, chain barding",c_horse4c3,default
60,REPLACE,"Horse: Black, purple barding",c_horse4c4,default
61,REPLACE,"Horse: Black, red barding",c_horse4c5,default
62,REPLACE,"Horse: Black, leather barding, packs",c_horse4d1,default
63,REPLACE,"Horse: Black, scale barding, packs",c_horse4d2,default
64,REPLACE,"Horse: Black, chain barding, packs",c_horse4d3,default
65,REPLACE,"Horse: Black, purple barding, packs",c_horse4d4,default
66,REPLACE,"Horse: Black, red barding, packs",c_horse4d5,default
67,REPLACE,"Horse: Nightmare, barding",c_horse5,default
68,REPLACE,"Horse: Nightmare, saddle",c_horse5a,default
69,REPLACE,"Horse: Nightmare",c_horse5b,default
70,REPLACE,"Horse: Jousting, Purple cloth",c_horse_j1,default
71,REPLACE,"Horse: Jousting, Blue and gold cloth",c_horse_j2,default
72,REPLACE,"Horse: Jousting, Black and white cloth",c_horse_j3,default
73,REPLACE,"Horse: Jousting, Red and yellow cloth",c_horse_j4,default
74,REPLACE,"Horse: Jousting, Red and black striped cloth",c_horse_j5,default
75,REPLACE,"Horse: Jousting, Green cloth",c_horse_j6,default
76,REPLACE,"Horse: Jousting, Blue and pink cloth",c_horse_j7,default
77,REPLACE,"Horse: Jousting, Red and gold brick cloth",c_horse_j8,default
78,REPLACE,"Horse: Jousting, Black cloth",c_horse_j9,default
79,REPLACE,"Horse: Jousting, Cyan and white cloth",c_horse_j10,default
80,REPLACE,"Horse: Jousting, White cloth",c_horse_j11,default
81,REPLACE,"Halfling: Female",c_ynpc_a_f01,default
82,REPLACE,"Halfling: Male",c_ynpc_a_m01,default
83,REPLACE,"Azer: Female 1",c_azergirl,evmap_azer
84,REPLACE,"Azer: Male 1",c_azerman,evmap_azer
85,REPLACE,"Dwarf: Duergar, Cleric",c_ydurgcleric,default
86,REPLACE,"Dwarf: Duergar, Fighter",c_ydurgfight,default
87,REPLACE,"Dwarf: Duergar, Chief",c_yduechf,default
88,REPLACE,"Dwarf: Duergar, Slaver",c_ydueslv,default
89,REPLACE,"Dwarf: Female",c_ynpc_d_f01,default
90,REPLACE,"Dwarf: Male",c_ynpc_d_m01,default
91,REPLACE,"Gnome: Svirfneblin, Female",c_ysvirfgirl,default
92,REPLACE,"Gnome: Svirfneblin, Male",c_ysvirfman,default
93,REPLACE,"Elf: Drow, Matron",c_drowmat,default
94,REPLACE,"Elf: Drow, Cleric",c_ydrocleric,default
95,REPLACE,"Elf: Drow, Red Sister 1",c_ydrofem1,default
96,REPLACE,"Elf: Drow, Red Sister 2",c_ydrofem2,default
97,REPLACE,"Elf: Drow, Fighter 1",c_ydrofight,default
98,REPLACE,"Elf: Drow, Rebel",c_ydrobeg,default
99,REPLACE,"Elf: Drow, Fighter 2",c_ydrowar,default
100,REPLACE,"Elf: Drow, Fighter 3",c_ydrowar2,default
101,REPLACE,"Elf: Drow, Fighter 4",c_ydrowep,default
102,REPLACE,"Elf: Drow, Wizard",c_ydrowiz,default
103,REPLACE,"Elf: Female",c_ynpc_e_f01,default
104,REPLACE,"Elf: Male 1",c_ynpc_e_m01,default
105,REPLACE,"Elf: Male 2",c_ynpc_e_m02,default
106,REPLACE,"Gnome: Female",c_ynpc_g_f01,default
107,REPLACE,"Gnome: Male",c_ynpc_g_m01,default
108,REPLACE,"Half-Orc: Female",c_ynpc_o_f01,default
109,REPLACE,"Half-Orc: Male 1",c_ynpc_o_m01,default
110,REPLACE,"Half-Orc: Male 2",c_ynpc_o_m02,default
111,REPLACE,"Human: Bartender",c_ybartender,default
112,REPLACE,"Human: Beggar",c_ybegger,default
113,REPLACE,"Human: Bloodsailor",c_ybloodsail,default
114,REPLACE,"Human: Convict",c_yconvict,default
115,REPLACE,"Human: Cult Member",c_ycult,default
116,REPLACE,"Fey: Dryad",c_dryad,****
117,REPLACE,"Human: Female 01",c_yfem01,default
118,REPLACE,"Human: Female 02",c_yfem02,default
119,REPLACE,"Human: Female 03",c_yfem03,default
120,REPLACE,"Human: Female 04",c_yfem04,default
121,REPLACE,"Human: House Guard",c_yhouse,default
122,REPLACE,"Human: Female 05",c_ynpc_h_f01,default
123,REPLACE,"Human: Female 06",c_ynpc_h_f02,default
124,REPLACE,"Human: Female 07",c_ynpc_h_f03,default
125,REPLACE,"Human: Female 08",c_ynpc_h_f04,default
126,REPLACE,"Human: Female 09",c_ynpc_h_f05,default
127,REPLACE,"Human: Female 10",c_ynpc_h_f06,default
128,REPLACE,"Human: Female 11",c_ynpc_h_f07,default
129,REPLACE,"Human: Female 12",c_ynpc_h_f08,default
130,REPLACE,"Human: Female 13",c_ynpc_h_f09,default
131,REPLACE,"Human: Female 14",c_ynpc_h_f10,default
132,REPLACE,"Human: Female 15",c_ynpc_h_f11,default
133,REPLACE,"Human: Female 16",c_ynpc_h_f12,default
134,REPLACE,"Human: Male 06",c_ynpc_h_m01,default
135,REPLACE,"Human: Male 07",c_ynpc_h_m02,default
136,REPLACE,"Human: Male 08",c_ynpc_h_m03,default
137,REPLACE,"Human: Male 09",c_ynpc_h_m04,default
138,REPLACE,"Human: Male 10",c_ynpc_h_m05,default
139,REPLACE,"Human: Male 11",c_ynpc_h_m06,default
140,REPLACE,"Human: Male 12",c_ynpc_h_m07,default
141,REPLACE,"Human: Male 13",c_ynpc_h_m08,default
142,REPLACE,"Human: Male 14",c_ynpc_h_m09,default
143,REPLACE,"Human: Male 15",c_ynpc_h_m10,default
144,REPLACE,"Human: Male 16",c_ynpc_h_m11,default
145,REPLACE,"Human: Male 17",c_ynpc_h_m12,default
146,REPLACE,"Human: Male 18",c_ynpc_h_m13,default
147,REPLACE,"Human: Male 19",c_ynpc_h_m14,default
148,REPLACE,"Human: Male 20",c_ynpc_h_m15,default
149,REPLACE,"Human: Male 21",c_ynpc_h_m16,default
150,REPLACE,"Human: Male 22",c_ynpc_h_m17,default
151,REPLACE,"Human: Male 23",c_ynpc_h_m18,default
152,REPLACE,"Human: Innkeeper",c_yinnkeep,default
153,REPLACE,"Human: Child, Female 01",c_ykid_f,default
154,REPLACE,"Human: Child, Male 01",c_ykid_m,default
155,REPLACE,"Human: Luskan Guard",c_yluskguard,default
156,REPLACE,"Human: Male 01",c_ymale01,default
157,REPLACE,"Human: Male 02",c_ymale02,default
158,REPLACE,"Human: Male 03",c_ymale03,default
159,REPLACE,"Human: Male 04",c_ymale04,default
160,REPLACE,"Human: Male 05",c_ymale05,default
162,REPLACE,"Human: Neverwinter Militia Member",c_ynwn_militia,default
163,REPLACE,"Fey: Nymph",c_nymph,****
164,REPLACE,"Human: Old Man",c_yold_m,default
165,REPLACE,"Human: Old Woman",c_yold_f,default
166,REPLACE,"Human: PDK Archer, Female",c_archer_f,default
167,REPLACE,"Human: PDK Archer, Male",c_archer_m,default
168,REPLACE,"Human: PDK Blade, Female",c_blade_f,default
169,REPLACE,"Human: PDK Blade, Male",c_blade_m,default
170,REPLACE,"Human: Plague Victim",c_ysick,default
171,REPLACE,"Human: Prostitute 1",c_ypro01,default
172,REPLACE,"Human: Prostitute 2",c_ypro02,default
173,REPLACE,"Hag: Sea 1",c_seahag,****
174,REPLACE,"Human: Shopkeeper",c_yshopkeep,default
175,REPLACE,"Demon: Succubus",c_dmsucubus,****
176,REPLACE,"Human: Uthgard Elk Tribe",c_yuth_elk,default
177,REPLACE,"Human: Uthgard Tiger Tribe",c_yuth_tiger,default
178,REPLACE,"Human: Waitress",c_ywaitress,default
179,REPLACE,"!UNI: Caladnei",c_caladeni,default
180,REPLACE,"!UNI: Hagatha",c_hagatha,default
181,REPLACE,"!UNI: Halaster",c_halaster,default
182,REPLACE,"!UNI: Lord Antoine",c_antoine,****
183,REPLACE,"!UNI: Masterius",c_masterius,****
184,REPLACE,"!UNI: Masterius, Full Power",c_masteriusp,****
185,REPLACE,"!UNI: Aarin (NWN)",c_aarin,default
186,REPLACE,"!UNI: Aribeth, Good (NWN)",c_aribeth,default
187,REPLACE,"!UNI: Aribeth, Evil (NWN)",c_aribeth_evil,default
188,REPLACE,"!UNI: Haedraline (NWN)",c_haedraline,default
189,REPLACE,"!UNI: Maugrim (NWN)",c_maugrim,default
190,REPLACE,"!UNI: Morag (NWN)",c_morag,default
191,REPLACE,"!UNI: Nasher (NWN)",c_nasher,default
192,REPLACE,"!UNI: Sedos (NWN)",c_sedos,default
193,REPLACE,"!UNI: Witch King, Disguised",c_wkdisguised,default
194,REPLACE,"!UNI: Heurodis",c_heurodis,default
195,REPLACE,"Gnoll: Male 1",c_gnoll,default
196,REPLACE,"Gnoll: Shaman",c_gnollwiz,default
197,REPLACE,Hobgoblin,c_hob,default
198,REPLACE,"Hobgoblin: Wizard",c_hobwiz,default
199,REPLACE,"Bugbear 01",c_bugbeara,default
200,REPLACE,"Bugbear 02",c_bugbearb,default
201,REPLACE,"Bugbear: Chieftain 1",c_bugchiefa,default
202,REPLACE,"Bugbear: Chieftain 2",c_bugchiefb,default
203,REPLACE,"Bugbear: Shaman 1",c_bugwiza,default
204,REPLACE,"Bugbear: Shaman 2",c_bugwizb,default
206,REPLACE,"Goblin: Chieftain A",c_gobchiefa,****
207,REPLACE,"Goblin: Chieftain B",c_gobchiefb,****
208,REPLACE,"Goblin A",c_goblina,****
209,REPLACE,"Goblin B",c_goblinb,****
210,REPLACE,"Goblin: Shaman A",c_gobwiza,****
211,REPLACE,"Goblin: Shaman B",c_gobwizb,****
212,REPLACE,"Orc 1",c_orca,****
213,REPLACE,"Orc 2",c_orcb,****
214,REPLACE,"Orc: Chieftain 1",c_orcchiefa,****
215,REPLACE,"Orc: Chieftain 2",c_orcchiefb,****
216,REPLACE,"Orc: Shaman 1",c_orcwiza,****
217,REPLACE,"Orc: Shaman 2",c_orcwizb,****
218,REPLACE,"Kobold 1",c_koba,****
219,REPLACE,"Kobold 2",c_kobb,****
220,REPLACE,"Kobold: Thug",c_kobchiefa,****
221,REPLACE,"Kobold: Footpad",c_kobchiefb,****
222,REPLACE,"Kobold: Shaman",c_kobwiza,****
223,REPLACE,"Kobold: Healer",c_kobwizb,****
224,REPLACE,"Asabi Shaman",c_asabmage,default
225,REPLACE,"Lizardfolk: Shaman 1",c_oldmagea,default
226,REPLACE,"Lizardfolk: Shaman 2",c_oldmageb,default
227,REPLACE,"Asabi Chieftain",c_asabchief,default
228,REPLACE,"Lizardfolk: Warrior 1",c_oldchiefa,default
229,REPLACE,"Lizardfolk: Warrior 2",c_oldchiefb,default
230,REPLACE,"Lizardfolk 2",c_oldwarb,default
231,REPLACE,"Asabi Warrior",c_asabwar,default
232,REPLACE,"Lizardfolk 1",c_oldwara,default
233,REPLACE,"Yuan-Ti: Priest",c_yuan_ti,default
234,REPLACE,"Yuan-Ti: Invoker",c_yuanchief,default
235,REPLACE,"Yuan-Ti: Necromancer",c_yuanwiz,default
236,REPLACE,"Troglodyte 1",c_troglodyte,default
237,REPLACE,"Troglodyte Cleric",c_troglodyte_c,default
238,REPLACE,"Troglodyte Warrior",c_troglodyte_w,default
239,REPLACE,"Celestial Avenger, Male",c_rak_beara,default
240,REPLACE,"Rakshasa: Tiger Male",c_rak_tigera,default
241,REPLACE,"Rakshasa: Tiger Female",c_rak_tigerb,default
242,REPLACE,"Archon: Hound, Male",c_rak_wolfa,default
244,REPLACE,"Sahuagin Cleric",c_sahuagin_c,default
245,REPLACE,"Sahuagin Leader",c_sahuagin_l,default
246,REPLACE,"Satyr 1",c_satyr,default
247,REPLACE,"Satyr: Archer",c_satyrarcher,default
248,REPLACE,"Satyr: Warrior",c_satyrwarrior,default
250,REPLACE,"Doom Knight",c_doomkght,default
251,REPLACE,Ghast,c_ghast,****
253,REPLACE,"Ghoul Lord",c_ghoullord,****
254,REPLACE,Lich,c_lich,default
255,REPLACE,"Horror: Helmed",c_helmhorr,****
257,REPLACE,"Mummy: Common",c_mum_com,default
258,REPLACE,"Mummy: Warrior 2",c_mum_fight02,default
259,REPLACE,"Mummy: Warrior 1",c_mum_fight03,default
260,REPLACE,"Mummy: Greater",c_mum_priest01,default
261,REPLACE,"Vampire: Female",c_vampire_f,default
262,REPLACE,"Vampire: Male",c_vampire_m,default
264,REPLACE,"Shadow Fiend",c_shfiend,****
265,REPLACE,"Skeleton: Mage",c_skel_mage01,default
266,REPLACE,"Skeleton: Chieftain",c_skel_chief01,default
267,REPLACE,"Skeleton: Common",c_skel_com01,default
268,REPLACE,"Skeleton: Priest",c_skel_priest01,default
269,REPLACE,"Skeleton: Warrior 1",c_skel_war02,default
270,REPLACE,"Skeleton: Warrior 2",c_skel_war03,default
271,REPLACE,"Skeleton: Warrior 3",c_skel_war01,default
273,REPLACE,"Zombie: Common",c_zomb_com,****
274,REPLACE,"Zombie: Rotting",c_zomb_rot,default
275,REPLACE,"Zombie: Warrior 1",c_zomb_war01,default
276,REPLACE,"Zombie: Warrior 2",c_zomb_war02,default
277,REPLACE,"Zombie: Tyrant Fog",c_zomb_tyr,****
278,REPLACE,"Horror: Battle",c_bathorror,****
279,REPLACE,"Golem: Diamond 1",c_goldiamond,dlag__ref01
280,REPLACE,"Golem: Emerald 1",c_golemerald,dlag__ref01
281,REPLACE,"Golem: Ruby 1",c_golruby,dlag__ref01
283,REPLACE,"Golem: Adamantium",c_golada,default
284,REPLACE,"Golem: Demonflesh",c_goldem,****
285,REPLACE,"Golem: Iron",c_goliron,****
286,REPLACE,"Golem: Mithril",c_golmit,****
287,REPLACE,"Demon: Balor",c_demon,default
288,REPLACE,"Devil: Pit Fiend 1",c_devil,****
289,REPLACE,"Drider: Male 1",c_drider,****
290,REPLACE,"Drider: Female 1",c_driderfem,****
291,REPLACE,"Drider: Chief",c_driderchf,****
293,REPLACE,"Formian Myrmarch",c_formmyr,evmap_irrid
294,REPLACE,"Formian Queen",c_formqueen,****
295,REPLACE,"Formian Warrior",c_formwar,****
296,REPLACE,"Formian Worker",c_formwrk,****
297,REPLACE,"Gelatinous Cube",c_jelly,default
298,REPLACE,"Giant: Hill 1",c_gnthill,****
299,REPLACE,"Giant: Mountain 1",c_gntmount,****
300,REPLACE,"Giant: Fire, Male 1",c_gntfire,default
301,REPLACE,"Giant: Fire, Female 1",c_gntfirefem,default
302,REPLACE,"Giant: Frost, Male 1",c_gntfrost,default
303,REPLACE,"Giant: Frost, Female 1",c_gntfrstfem,default
304,REPLACE,"Minotaur: Chieftain",c_minochief,default
305,REPLACE,"Minogon 1",c_minogon,default
307,REPLACE,"Minotaur: Shaman",c_minowiz,default
308,REPLACE,"Ogre 1",c_ogrea,default
309,REPLACE,"Ogre: Chieftain 1",c_ogrechiefa,default
310,REPLACE,"Ogre: Mage 1",c_ogremagea,default
311,REPLACE,"Ogre: Chieftain 2",c_ogrechiefb,default
312,REPLACE,"Ogre: Elite",c_ogre35,****
313,REPLACE,"Ogre: Mage 2",c_ogremageb,default
314,REPLACE,"Ogre 2",c_ogreb,default
315,REPLACE,"Stinger Chieftain",c_stingchief,****
317,REPLACE,"Stinger Mage",c_stingmage,default
318,REPLACE,"Stinger Warrior",c_stingwar,****
321,REPLACE,"Dracolich 1",c_dracolich,****
322,REPLACE,"Dragon Chr: Black",c_drgblack,****
323,REPLACE,"Dragon Chr: Blue",c_drgblue,****
324,REPLACE,"Dragon Met: Brass",c_drgbrass,default
325,REPLACE,"Dragon Met: Bronze",c_drgbrnz,default
326,REPLACE,"Dragon Met: Copper",c_drgcopp,default
327,REPLACE,"Dragon Met: Gold",c_drggold,default
328,REPLACE,"Dragon Chr: Green",c_drggreen,****
329,REPLACE,"Dragon: Mist",c_drgmist,****
330,REPLACE,"Dragon: Prismatic",c_drgprism,default
331,REPLACE,"Dragon Chr: Red",c_drgred,****
332,REPLACE,"Dragon: Shadow",c_drgshad,****
333,REPLACE,"Dragon Met: Silver",c_drgsilv,default
334,REPLACE,"Dragon Chr: White",c_drgwhite,****
335,REPLACE,"Golem: Bone",c_golbone,default
336,REPLACE,"Golem: Clay 1",c_golclay,****
337,REPLACE,"Golem: Flesh",c_golflesh,****
338,REPLACE,"Golem: Stone",c_golstone,****
339,REPLACE,"Elemental Base: Air",c_air,****
340,REPLACE,"Elemental Base: Air, Elder",c_aireld,****
341,REPLACE,"Elemental Base: Earth",c_earth,****
342,REPLACE,"Elemental Base: Earth, Elder",c_eartheld,****
343,REPLACE,"Elemental Base: Fire",c_fire,****
344,REPLACE,"Elemental Base: Fire, Elder",c_fireeld,****
345,REPLACE,"Elemental Base: Water",c_water,****
346,REPLACE,"Elemental Base: Water, Elder",c_watereld,****
347,REPLACE,"Badger: Dire",c_direbadg,****
350,REPLACE,"Bear: Brown",c_bearbrwn,****
351,REPLACE,"Swine: Boar",c_boar,****
352,REPLACE,"Bear: Black",c_bearblck,****
353,REPLACE,"Bear: Dire",c_beardire,****
354,REPLACE,"Bear: Grizzly",c_bearkodi,****
355,REPLACE,"Bear: Polar",c_bearpolar,****
356,REPLACE,"Swine: Boar, Dire",c_direboar,****
357,REPLACE,"Bird: Chicken",c_a_chicken,****
358,REPLACE,"Snake: Cobra",c_cobra01,****
359,REPLACE,"Snake: Cobra, Black",c_cobra02,****
360,REPLACE,"Snake: Cobra, Gold",c_cobra03,****
361,REPLACE,"Cattle: Cow 1",c_a_cow,****
362,REPLACE,"Cattle: Rothe, Deep",c_deeprothe,****
364,REPLACE,"Deer: Stag",c_a_deerwhite,****
365,REPLACE,"Rodent: Rat, Dire",c_direrat,****
366,REPLACE,"Cat: Cougar 1",c_cat,****
367,REPLACE,"Cat: Crag Cat",c_cat_crag,****
368,REPLACE,"Cat: Tiger, Dire",c_cat_dire,****
369,REPLACE,"Cat: Jaguar",c_cat_jag,****
370,REPLACE,"Cat: Krenshar",c_cat_kren,****
371,REPLACE,"Cat: Leopard",c_cat_lep,****
372,REPLACE,"Cat: Lion, Female",c_cat_lion,****
373,REPLACE,"Cat: Panther",c_cat_panth,****
374,REPLACE,"Cat: Panther, Malar",c_cat_mpanth,****
375,REPLACE,"Cattle: Ox",c_a_ox,****
377,REPLACE,"Bird: Penguin",c_a_penguin,****
378,REPLACE,"Bird: Falcon",c_a_bird_rap,****
379,REPLACE,"Rodent: Rat",c_rat,****
380,REPLACE,"Bird: Raven",c_a_bird_rav,****
381,REPLACE,"Bird: Seagull, flying",c_seagull_f,****
382,REPLACE,"Bird: Seagull, walking",c_seagull_w,****
383,REPLACE,"Fish: Shark, Goblin",c_sharkgb,default
384,REPLACE,"Fish: Shark, Hammerhead",c_sharkhm,default
385,REPLACE,"Fish: Shark, Mako",c_sharkmk,default
386,REPLACE,"Dog: Blink Dog",c_blinkdog,****
387,REPLACE,"Dog: Dire Wolf",c_direwolf,****
389,REPLACE,"Dog: Fenhound",c_fenhound,****
390,REPLACE,"Dog: Hell Hound",c_hellhound,****
391,REPLACE,"Dog: Shadow Mastiff",c_shmastif,****
392,REPLACE,"Dog: Wolf",c_wolf,****
393,REPLACE,"Dog: Winter Wolf",c_wolfwint,****
394,REPLACE,"Dog: Worg",c_worg,****
395,REPLACE,"!UNI: Maggris",c_maggris,****
396,REPLACE,"!UNI: Harat",c_harat,****
397,REPLACE,"!UNI: Harat, Small",c_harat_sm,default
398,REPLACE,"Beholder: G'Zhorb",c_gzhorb,****
399,REPLACE,"Devil Lord: Mephistopheles, Large",c_devilbig,****
400,REPLACE,"Devil Lord: Mephistopheles",c_devilsmall,****
402,REPLACE,"Dummy: Archery Target",c_archtarget,****
403,REPLACE,"Beetle: Stag, Medium",c_btlstag,evmap_irrid
404,REPLACE,"Archon: Lantern",c_clantern,****
405,REPLACE,Will-o-Wisp,c_willowisp,****
406,REPLACE,"Beetle: Fire, Medium",c_btlfire,****
407,REPLACE,"Beetle: Slicer, Medium",c_btlslicer,****
408,REPLACE,"Beetle: Stink, Medium",c_btlstink,****
409,REPLACE,"Beholder 1",c_behold,****
410,REPLACE,"Beholder: Tyrant",c_beholdboss,****
411,REPLACE,"Beholder: Eyeball",c_beholdeye,****
412,REPLACE,"Beholder: Mage",c_beholdwiz,****
413,REPLACE,"Boat: Drow",c_boathack,default
415,REPLACE,Mimic,c_chest,****
417,REPLACE,"Curst Swordsman",c_curst,****
418,REPLACE,"Lich: Demilich",c_demilich,default
419,REPLACE,"Fey: Pixie, Green",c_fairy,****
421,REPLACE,"Grey Render",c_greyrend,****
422,REPLACE,"Shield Guardian",c_shguard,****
424,REPLACE,"Ooze: Gray Ooze",c_ooze_b01,default
425,REPLACE,"Sphinx: Gyno 1",c_gynosphinx,****
426,REPLACE,"Manticore 1",c_manticore,****
430,REPLACE,"Demon: Vrock 1",c_dmvrock,****
431,REPLACE,"Hook Horror",c_horror,****
432,REPLACE,"Demon: Quasit",c_dmquasit,****
433,REPLACE,"Devil: Imp",c_imp,****
434,REPLACE,"Mephit: Air",c_mepair,****
435,REPLACE,"Mephit: Dust",c_mepdust,****
436,REPLACE,"Mephit: Earth",c_mepearth,****
437,REPLACE,"Mephit: Fire",c_mepfire,****
438,REPLACE,"Mephit: Ice",c_mepice,****
439,REPLACE,"Mephit: Magma",c_mepmagma,****
440,REPLACE,"Mephit: Ooze",c_mepooze,****
441,REPLACE,"Mephit: Salt",c_mepsalt,****
442,REPLACE,"Mephit: Steam",c_mepsteam,****
443,REPLACE,"Mephit: Water",c_mepwater,****
444,REPLACE,"Intellect Devourer: War",c_devo_01,****
445,REPLACE,"Intellect Devourer: Skeletal",c_devo_02,default
446,REPLACE,"Intellect Devourer",c_devour,****
448,REPLACE,"Mindflayer 1",c_mindflayer,default
449,REPLACE,"Mindflayer: Alhoon",c_mindalhoon,default
450,REPLACE,"Mindflayer: Master",c_mindflayer2,default
451,REPLACE,"Ooze: Ochre Jelly, Large",c_ooze_a01,default
452,REPLACE,"Ooze: Ochre Jelly, Medium",c_ooze_a03,default
453,REPLACE,"Ooze: Ochre Jelly, Small",c_ooze_a05,default
454,REPLACE,"Dragon Chr: Black, Wyrmling",c_wyrmlblk,****
455,REPLACE,"Dragon Chr: Blue, Wyrmling",c_wyrmlblu,****
456,REPLACE,"Dragon Met: Brass, Wyrmling",c_wyrmlbrs,****
457,REPLACE,"Dragon Met: Bronze, Wyrmling",c_wyrmlbrz,****
458,REPLACE,"Dragon Met: Copper, Wyrmling",c_wyrmlcop,****
459,REPLACE,"Dragon Met: Gold, Wyrmling",c_wyrmlgld,****
460,REPLACE,"Dragon Chr: Green, Wyrmling",c_wyrmlgrn,****
461,REPLACE,"Dragon Chr: Red, Wyrmling",c_wyrmlred,****
462,REPLACE,"Dragon Met: Silver, Wyrmling",c_wyrmlsil,****
463,REPLACE,"Dragon Chr: White, Wyrmling",c_wyrmlwht,****
464,REPLACE,"Slaad: Blue",c_slaadbl,****
465,REPLACE,"Slaad: Death",c_slaaddth,****
466,REPLACE,"Slaad: Gray",c_slaadgray,****
467,REPLACE,"Slaad: Green 1",c_slaadgrn,****
468,REPLACE,"Slaad: Red",c_slaadred,****
469,REPLACE,"Slaad: Black",c_slaadba,****
470,REPLACE,"Slaad: White",c_slaadwh,****
472,REPLACE,"Demon: Bebilith 1",c_demonspid,****
474,REPLACE,"Spider: Dire",c_spiddire,****
475,REPLACE,"Spider: Giant",c_spidgiant,****
476,REPLACE,"Spider: Phase",c_spidphase,****
477,REPLACE,"Spider: Sword",c_spidswrd,default
478,REPLACE,"Spider: Wraith",c_spidwra,****
480,REPLACE,"Troll 1",c_troll,****
481,REPLACE,"Troll: Chieftain",c_trollchief,****
482,REPLACE,"Troll: Shaman 1",c_trollwiz,****
483,REPLACE,"Umber Hulk",c_umberhulk,evmap_irrid
487,REPLACE,"Wyvern: Adult",c_wyvern_a,****
488,REPLACE,"Wyvern: Great",c_wyvern_g,****
489,REPLACE,"Wyvern: Juvenile",c_wyvern_j,****
490,REPLACE,"Wyvern: Young",c_wyvern_y,****
491,REPLACE,"Horse: Unicorn, White*",c_unicorn2,default
492,REPLACE,"Horse: Unicorn, White saddle*",c_unicorn2a,default
