PATCH_IDX,PATCH_CMD,Name,label,InvSlotWidth,InvSlotHeight,EquipableSlots,CanRotateIcon,ModelType,ItemClass,GenderSpecific,Part1EnvMap,Part2EnvMap,Part3EnvMap,DefaultModel,DefaultIcon,Container,WeaponWield,WeaponType,WeaponSize,RangedWeapon,PrefAttackDist,MinRange,MaxRange,NumDice,DieToRoll,CritThreat,CritHitMult,Category,BaseCost,Stacking,ItemMultiplier,Description,InvSoundType,MaxProps,MinProps,PropColumn,StorePanel,ReqFeat0,ReqFeat1,ReqFeat2,ReqFeat3,ReqFeat4,AC_Enchant,BaseAC,ArmorCheckPen,BaseItemStatRef,ChargesStarting,RotateOnGround,TenthLBS,WeaponMatType,AmmunitionType,QBBehaviour,ArcaneSpellFailure,%AnimSlashL,%AnimSlashR,%AnimSlashS,StorePanelSort,ILRStackSize,WeaponFocusFeat,EpicWeaponFocusFeat,WeaponSpecializationFeat,EpicWeaponSpecializationFeat,WeaponImprovedCriticalFeat,EpicWeaponOverwhelmingCriticalFeat,EpicWeaponDevastatingCriticalFeat,WeaponOfChoiceFeat
13,REPLACE,167,greatsword,2,5,0x1C010,1,2,WSwGs,0,1,1,1,it_bag,iwswgs,0,****,3,4,****,1.8,10,255,2,6,2,2,1,50,1,2,1693,9,8,0,0,1,45,****,****,****,****,4,0,0,5427,0,1,150,11,****,****,****,65,65,35,99,1,107,637,145,675,69,727,513,929
14,REPLACE,179,smallshield,2,2,0x00020,0,0,AShSw,0,1,1,1,it_bag,iashsw,0,7,0,****,****,****,10,255,****,****,****,****,3,9,1,1,2287,16,8,0,6,0,32,****,****,****,****,3,1,-1,5443,0,1,60,****,****,****,5,****,****,****,7,1,****,****,****,****,****,****,****,****
15,REPLACE,16807978,torch,1,3,0x00020,1,0,it_torch,0,****,****,****,it_bag,iit_torch_000,0,1,0,2,****,****,0,255,****,****,****,****,20,1,1,0.02,1725,17,8,0,20,4,****,****,****,****,****,****,0,0,5444,0,1,1,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
16,REPLACE,335,armor,2,3,0x00002,0,3,AArCl,1,1,****,****,gifp,iit_chest,0,****,0,****,****,****,0,255,****,****,****,****,4,****,1,1,****,30,8,0,6,0,****,****,****,****,****,2,0,0,****,0,0,100,****,****,****,****,****,****,****,10,1,****,****,****,****,****,****,****,****
17,REPLACE,182,helmet,2,2,0x00001,0,1,helm,0,1,****,****,it_bag,ihelm,0,****,0,****,****,****,0,255,****,****,****,****,5,3,1,1,1710,0,8,0,7,0,****,****,****,****,****,4,0,0,5445,0,0,20,****,****,****,****,****,****,****,5,1,****,****,****,****,****,****,****,****
18,REPLACE,515,greataxe,2,4,0x1C010,1,2,WAxGr,0,1,1,1,it_bag,iwaxgr,0,****,3,4,****,1.4,10,255,1,12,1,3,1,20,1,2,1692,9,8,0,0,1,45,****,****,****,****,4,0,0,5426,0,1,200,17,****,****,****,100,100,0,73,1,111,641,149,679,73,731,517,932
19,REPLACE,1516,amulet,1,2,0x00200,0,0,it_neck,0,1,****,****,doa_amulet,iit_neck,0,****,0,****,****,****,0,255,****,****,****,****,12,1,1,1,1715,25,8,0,16,3,****,****,****,****,****,1,0,0,5446,0,0,5,****,****,****,****,****,****,****,5,1,****,****,****,****,****,****,****,****
20,REPLACE,1517,arrow,1,2,0x00800,0,2,WAmAr,1,1,1,1,GI_WAmAr_001,iwamar,0,****,0,****,****,****,10,255,****,****,****,****,6,1,99,0.01,1696,18,8,0,5,1,****,****,****,****,****,****,0,0,5422,0,0,0,****,****,****,****,****,****,****,0,99,****,****,****,****,****,****,****,****
21,REPLACE,1518,belt,2,1,0x00400,0,0,it_belt,0,1,****,****,doa_belt,iit_belt,0,****,0,****,****,****,0,255,****,****,****,****,12,1,1,1,1714,2,8,0,16,0,****,****,****,****,****,4,0,0,5447,0,0,10,****,****,****,****,****,****,****,3,1,****,****,****,****,****,****,****,****
22,REPLACE,191,dagger,1,1,0x1C030,0,2,WSwDg,0,1,1,1,it_bag,iwswdg,0,****,1,1,****,1.1,10,255,1,4,2,2,1,2,1,2,1667,7,8,0,0,1,46,48,49,50,51,4,0,0,5395,0,1,10,18,****,****,****,65,65,35,9,1,90,620,128,658,52,710,496,920
23,REPLACE,0,DELETED,2,1,0x00000,0,0,it_sbox,0,****,****,****,it_bag,****,1,****,0,****,****,****,0,255,****,****,****,****,17,5,1,1,2285,30,8,0,15,****,****,****,****,****,****,****,0,0,****,0,1,100,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
24,REPLACE,192,miscsmall,1,1,0x00000,0,0,it_smlmisc,0,1,1,1,it_bag,iinvalid_1x1,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,1726,28,8,0,15,4,****,****,****,****,****,****,0,0,5448,0,0,3,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
25,REPLACE,1519,bolt,1,2,0x02000,1,2,WAmBo,0,1,1,1,GI_WAmBo_001,iwambo,0,****,0,****,****,****,0,255,****,****,****,****,6,1,99,0.01,1675,18,8,0,5,1,****,****,****,****,****,****,0,0,5403,0,0,0,****,****,****,****,****,****,****,0,99,****,****,****,****,****,****,****,****
26,REPLACE,1520,boots,2,2,0x00004,0,2,it_boots,0,1,****,****,doa_boots,iit_boots,0,****,0,****,****,****,0,255,****,****,****,****,12,1,1,1,1713,2,8,0,16,0,****,****,****,****,****,0,0,0,****,0,0,5,****,****,****,****,****,****,****,2,1,****,****,****,****,****,****,****,****
27,REPLACE,1521,bullet,1,1,0x01000,0,0,WAmBu,0,1,1,1,GI_WAmBu_001,iwambu,0,****,0,****,****,****,0,255,****,****,****,****,6,1,99,0.01,1678,28,8,0,5,1,****,****,****,****,****,****,0,0,5406,0,0,0,****,****,****,****,****,****,****,0,99,****,****,****,****,****,****,****,****
28,REPLACE,1522,club,1,3,0x1C030,1,2,WBlCl,0,1,1,1,it_bag,iwblcl,0,****,2,3,****,1.1,10,255,1,6,1,2,1,1,1,2,1670,17,8,0,0,1,46,48,49,50,51,4,0,0,61890,0,1,30,4,****,****,****,100,100,0,26,1,43,619,47,657,15,709,495,919
29,REPLACE,1523,miscmedium,2,2,0x00000,0,0,it_midmisc,0,1,1,1,it_bag,iinvalid_2x2,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,1726,29,8,0,15,4,****,****,****,****,****,****,0,0,5449,0,0,5,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
30,REPLACE,0,DELETED,2,3,0x00030,1,2,WBwXr,0,1,1,1,it_bag,iinvalid_2x3,0,6,1,3,****,****,10,255,1,8,2,2,2,250,1,2,1706,4,8,0,1,****,44,****,****,****,****,4,0,0,****,0,1,100,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
31,REPLACE,1525,dart,1,1,0x00010,0,0,WThDt,0,1,1,1,it_dart_000,iwthdt,0,11,1,2,31,30,0,255,1,4,1,2,7,0.1,50,0.01,1676,18,8,0,2,1,46,48,50,****,****,****,0,0,5404,0,1,1,7,4,****,****,****,****,****,12,50,91,621,129,659,53,711,497,****
32,REPLACE,1526,diremace,2,4,0x1C010,1,2,WDbMa,0,1,1,1,it_bag,iwdbma,0,8,2,4,****,2,10,255,1,8,1,2,1,40,1,2,1703,14,8,0,0,1,44,****,****,****,****,4,0,0,5433,0,1,200,2,****,****,****,65,65,35,99,1,125,653,163,691,87,743,529,941
33,REPLACE,1527,doubleaxe,2,4,0x1C010,1,2,WDbAx,0,1,1,1,it_bag,iwdbax,0,8,3,4,****,1.5,10,255,1,8,1,3,1,30,1,2,1701,10,8,0,0,1,44,****,****,****,****,4,0,0,5430,0,1,250,****,****,****,****,100,100,0,99,1,126,654,164,692,88,744,530,942
34,REPLACE,1528,misclarge,2,3,0x00000,0,0,it_talmisc,0,1,1,1,it_bag,iinvalid_2x3,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,1726,30,8,0,15,4,****,****,****,****,****,****,0,0,5450,0,0,5,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
35,REPLACE,1529,heavyflail,2,4,0x1C010,1,2,WBlFh,0,1,1,1,it_bag,iwblfh,0,****,2,4,****,1.5,10,255,1,10,2,2,1,15,1,2,1691,12,8,0,0,1,45,****,****,****,****,4,0,0,5424,0,1,200,13,****,****,****,100,100,0,74,1,116,646,154,684,78,736,522,937
36,REPLACE,1530,gloves,2,1,0x00008,0,0,it_glove,0,1,1,1,doa_glove,iit_glove,0,****,2,****,****,****,0,255,****,****,****,****,1,1,1,1,1712,3,8,0,21,0,****,****,****,****,****,4,0,0,5451,0,0,10,****,****,****,****,****,****,****,0,1,100,630,138,668,62,720,506,****
37,REPLACE,1531,lighthammer,1,2,0x1C030,1,2,WBlHl,0,1,1,1,it_bag,iwblhl,0,****,2,2,****,1.1,10,255,1,4,1,2,1,1,1,2,1681,13,8,0,0,1,45,****,****,****,****,4,0,0,5408,0,1,20,2,****,****,****,100,100,0,27,1,113,643,151,681,75,733,519,934
38,REPLACE,1532,handaxe,1,2,0x1C030,1,2,WAxHn,0,1,1,1,it_bag,iwaxhn,0,****,3,2,****,1.1,10,255,1,6,1,3,1,6,1,2,1682,8,8,0,0,1,45,49,50,****,****,4,0,0,5409,0,1,50,17,****,****,****,100,100,0,14,1,108,638,146,676,70,728,514,930
39,REPLACE,1533,healerskit,2,1,0x00000,0,0,it_medkit,0,****,****,****,doa_healkit,iit_medkit_001,0,****,0,****,****,****,0,255,****,****,****,****,19,50,10,1,1720,29,8,0,19,4,****,****,****,****,****,****,0,0,5452,0,0,5,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
40,REPLACE,1534,kama,2,2,0x1C030,0,2,WSpKa,0,1,1,1,it_bag,iwspka,0,****,3,2,****,1.1,10,255,1,6,1,2,1,2,1,2,1699,8,8,0,0,1,44,49,****,****,****,4,0,0,5396,0,1,10,18,****,****,****,50,50,50,16,1,117,647,155,685,79,737,523,880
41,REPLACE,1535,katana,2,3,0x1C030,1,2,WSwKa,0,1,1,1,it_bag,iwswka,0,****,3,3,****,1.3,10,255,1,10,2,2,1,40,1,2,1704,8,8,0,0,1,44,****,****,****,****,4,0,0,5423,0,1,100,1,****,****,****,50,50,50,75,1,122,651,160,689,84,741,527,939
42,REPLACE,1536,kukri,1,2,0x1C030,1,2,WSpKu,0,1,1,1,it_bag,iwspku,0,****,3,1,****,1.2,10,255,1,4,3,2,1,8,1,2,2284,8,8,0,0,1,44,****,****,****,****,4,0,0,5442,0,1,30,18,****,****,****,65,65,35,18,1,118,648,156,686,80,738,524,881
43,REPLACE,****,DELETED,****,****,0x00000,****,****,****,****,****,****,****,it_bag,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,30,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
44,REPLACE,1538,magicrod,1,3,0x00000,1,2,WMgRd,0,1,1,1,it_bag,iwmgrd,0,****,****,****,****,****,10,255,****,****,****,****,8,1,1,1,1708,16,8,0,4,3,****,****,****,****,****,****,0,0,66197,50,1,20,****,****,1,****,****,****,****,10,1,****,****,****,****,****,****,****,****
45,REPLACE,1539,magicstaff,1,5,0x1C010,1,2,WMgSt,0,1,1,1,it_bag,iwmgst,0,4,2,3,****,1.6,10,255,1,6,1,2,8,1,1,1,1709,15,8,3,3,3,****,****,****,****,****,4,0,0,76436,50,1,40,4,****,****,****,50,50,50,10,1,****,****,****,****,****,****,****,****
46,REPLACE,1540,magicwand,1,2,0x00000,1,2,WMgWn,0,1,1,1,it_bag,iwmgwn,0,****,****,****,****,****,10,255,****,****,****,****,8,1,1,1,1707,16,1,1,10,3,****,****,****,****,****,****,0,0,66196,50,1,10,****,****,1,****,****,****,****,10,1,****,****,****,****,****,****,****,****
47,REPLACE,1541,morningstar,1,3,0x1C030,1,2,WBlMs,0,1,1,1,it_bag,iwblms,0,****,5,3,****,1.4,10,255,1,8,1,2,1,8,1,2,1671,11,8,0,0,1,46,50,****,****,****,4,0,0,5412,0,1,80,3,****,****,****,100,100,0,20,1,95,625,133,663,57,715,501,922
48,REPLACE,0,DELETED,2,2,0x1C030,0,2,WSpNn,0,1,1,1,it_bag,****,0,****,2,2,****,****,10,255,1,6,1,2,1,2,1,2,1700,30,8,0,0,****,44,49,****,****,****,4,0,0,5397,0,1,20,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
49,REPLACE,1543,potions,1,2,0x00000,0,2,it_potion,0,****,****,****,it_potion_000,iit_potion,0,1,0,****,****,****,10,255,****,****,****,****,9,1,10,0.2,1719,24,1,1,8,2,****,****,****,****,****,****,0,0,5455,0,2,1,****,****,2,****,****,****,****,0,1,****,****,****,****,****,****,****,****
50,REPLACE,1544,quarterstaff,1,4,0x1C010,1,2,WDbQs,0,1,1,1,it_bag,iwdbqs,0,4,2,4,****,1.6,10,255,1,6,1,2,1,1,1,2,1673,15,8,0,0,1,46,48,49,50,51,4,0,0,5413,0,1,40,4,****,****,****,50,50,50,99,1,96,626,134,664,58,716,502,923
51,REPLACE,1545,rapier,1,3,0x1C030,1,2,WSwRp,0,1,1,1,it_bag,iwswrp,0,****,1,3,****,1.4,10,255,1,6,3,2,1,20,1,2,1688,7,8,0,0,1,45,50,256,****,****,4,0,0,5418,0,1,30,18,****,****,****,35,35,65,28,1,104,634,142,672,66,724,510,926
52,REPLACE,1546,ring,1,1,0x00180,0,0,it_ring,0,****,****,****,doa_ring,iit_ring,0,****,0,****,****,****,0,255,****,****,****,****,12,1,1,1.25,1716,23,8,0,16,3,****,****,****,****,****,4,0,0,5456,0,0,1,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
53,REPLACE,1547,scimitar,1,3,0x1C030,1,2,WSwSc,0,1,1,1,it_bag,iwswsc,0,****,3,3,****,1.3,10,255,1,6,3,2,1,15,1,2,1689,8,8,0,0,1,45,48,****,****,****,4,0,0,5419,0,1,40,1,****,****,****,65,65,35,29,1,105,635,143,673,67,725,511,927
54,REPLACE,0,DELETED,1,1,0x00000,0,0,it_spscroll,0,****,****,****,gi_scrl,iit_scroll_001,0,1,0,****,****,****,0,255,****,****,****,****,10,1,10,0.25,5022,30,1,1,9,****,****,****,****,****,****,****,0,0,5457,0,1,1,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
55,REPLACE,1549,scythe,2,4,0x1C010,1,2,WPlSc,0,1,1,1,it_bag,iwplsc,0,4,4,4,****,1.5,10,255,2,4,1,4,1,18,1,2,2290,9,8,0,0,1,44,****,****,****,****,4,0,0,5425,0,1,120,17,****,****,****,100,100,0,99,1,121,650,159,688,83,740,526,938
56,REPLACE,1550,largeshield,2,3,0x00020,0,0,AShLw,0,1,1,1,it_bag,iashlw,0,7,0,****,****,****,10,255,****,****,****,****,3,50,1,1,2286,30,8,0,6,0,32,****,****,****,****,3,2,-2,5458,0,1,150,****,****,****,15,****,****,****,7,1,****,****,****,****,****,****,****,****
57,REPLACE,1551,towershield,2,4,0x00020,0,0,AShTo,0,1,1,1,it_bag,iashto,0,7,0,****,****,****,10,255,****,****,****,****,3,100,1,1,1717,6,8,0,6,0,32,****,****,****,****,3,3,-10,5459,0,1,450,****,****,****,50,****,****,****,7,1,****,****,****,****,****,****,****,****
58,REPLACE,1552,shortspear,1,4,0x1C030,1,2,WPlSs,0,1,1,1,it_bag,iwplss,0,4,1,4,****,1.4,10,255,1,8,1,3,1,1,1,2,1672,15,8,0,0,1,46,48,****,****,****,4,0,0,5401,0,1,30,17,****,****,****,35,35,65,76,1,97,627,135,665,59,717,503,924
59,REPLACE,1553,shuriken,1,1,0x00010,0,0,WThSh,0,1,****,****,it_bag,iwthsh,0,11,1,1,59,30,0,255,1,3,1,2,7,1,50,0.01,1705,7,8,0,2,1,44,49,****,****,****,****,0,0,5398,0,1,0,7,5,****,****,****,****,****,0,50,120,649,158,687,82,739,525,****
60,REPLACE,1554,sickle,2,2,0x1C030,0,2,WSpSc,0,1,1,1,it_bag,iwspsc,0,****,3,2,****,1.1,10,255,1,6,1,2,1,6,1,2,1669,8,8,0,0,1,46,48,****,****,****,4,0,0,5400,0,1,30,18,****,****,****,100,100,0,22,1,98,628,136,666,60,718,504,879
61,REPLACE,1555,sling,1,2,0x00030,0,0,WBwSl,0,****,****,****,it_bag,iwbwsl,0,10,2,2,27,30,0,255,1,4,1,2,2,1,1,2,1677,3,8,0,1,1,46,48,49,50,****,4,0,0,5405,0,1,1,6,3,****,****,****,****,****,10,1,99,629,137,667,61,719,505,****
62,REPLACE,1556,thievestools,1,2,0x00000,0,0,it_picks,0,****,****,****,doa_thtools,iit_picks_001,0,1,0,****,****,****,0,255,****,****,****,****,11,1,10,0.25,1722,22,8,0,11,4,****,****,****,****,****,****,0,0,5460,0,0,5,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
63,REPLACE,1557,throwingaxe,1,2,0x00010,1,2,WThAx,0,1,1,1,it_bag,iwthax,0,11,3,2,63,30,10,255,1,6,1,2,7,1,50,0.01,1680,8,8,0,2,1,45,****,****,****,****,****,0,0,5407,0,1,10,8,6,****,****,****,****,****,24,50,109,639,147,677,71,729,515,****
64,REPLACE,1558,trapkit,2,2,0x00000,0,0,it_trap,0,****,****,****,it_trap_001,iit_trap_009,0,1,0,****,****,****,0,255,****,****,****,****,15,1,1,1,1721,1,1,1,12,4,****,****,****,****,****,****,0,0,5461,0,0,5,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
65,REPLACE,1560,key,1,2,0x00000,0,2,it_key,0,****,****,****,doa_key,iit_key,0,****,0,****,****,****,10,255,****,****,****,****,16,0,1,1,1723,22,8,0,15,4,****,****,****,****,****,****,0,0,5462,0,0,1,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
66,REPLACE,1562,largebox,2,2,0x00000,0,0,it_bigbox,0,****,****,****,it_bag,iit_bigbox_001,1,****,0,****,****,****,0,255,****,****,****,****,17,15,1,1,2289,1,8,0,18,4,****,****,****,****,****,****,0,0,5463,0,0,10,****,****,****,****,****,****,****,5,1,****,****,****,****,****,****,****,****
67,REPLACE,0,DELETED,1,1,0x00000,0,0,it_bag,0,****,****,****,it_bag,****,1,****,0,****,****,****,0,255,****,****,****,****,17,5,1,1,1724,30,8,0,15,****,****,****,****,****,****,****,0,0,****,0,0,100,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
68,REPLACE,****,DELETED,****,****,0x00000,****,****,****,****,****,****,****,it_bag,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,30,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
69,REPLACE,534,cslashweapon,2,2,0x1C000,0,0,it_cr_sla,0,1,1,1,it_bag,iit_cr_sla_001,0,9,3,3,****,****,0,255,0,0,1,2,****,****,1,2,5027,30,8,0,14,1,289,****,****,****,****,****,0,0,5465,0,0,1,1,****,****,****,50,50,50,0,1,291,656,290,694,292,746,532,****
70,REPLACE,2188,cpiercweapon,2,2,0x1C000,0,0,it_cr_prc,0,1,1,1,it_bag,iit_cr_prc_001,0,9,1,3,****,****,0,255,0,0,1,2,****,****,1,2,5028,30,8,0,14,1,289,****,****,****,****,****,0,0,5466,0,0,1,1,****,****,****,50,50,50,0,1,291,656,290,694,292,746,532,****
71,REPLACE,2189,cbludgweapon,2,2,0x1C000,0,0,it_cr_blud,0,1,1,1,it_bag,iit_cr_blud_001,0,9,2,3,****,****,0,255,0,0,1,2,****,****,1,2,5029,30,8,0,14,1,289,****,****,****,****,****,0,0,5467,0,0,1,4,****,****,****,50,50,50,0,1,291,656,290,694,292,746,532,****
72,REPLACE,2190,cslshprcweap,2,2,0x1C000,0,0,it_cr_bite,0,1,1,1,it_bag,iit_cr_bite_001,0,9,4,3,****,****,0,255,0,0,1,2,****,****,1,2,5030,30,8,0,14,1,289,****,****,****,****,****,0,0,5468,0,0,1,1,****,****,****,50,50,50,0,1,291,656,290,694,292,746,532,****
73,REPLACE,530,creatureitem,2,2,0x20000,0,0,it_cr_item,0,1,1,1,it_bag,iinvalid_2x2,0,1,0,****,****,****,0,255,****,****,****,****,****,****,1,1,5031,30,8,0,13,0,****,****,****,****,****,4,0,0,5469,0,0,1,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
74,REPLACE,531,book,2,2,0x00000,0,0,it_book,0,****,****,****,doa_book,iit_book_001,0,1,0,****,****,****,0,255,****,****,****,****,16,1,1,1,6726,1,8,0,15,4,****,****,****,****,****,****,0,0,****,0,0,10,****,****,****,****,****,****,****,10,1,****,****,****,****,****,****,****,****
75,REPLACE,532,spellscroll,1,1,0x00000,0,0,it_scroll,0,****,****,****,gi_scrl,iit_scroll_001,0,1,0,****,****,****,0,255,****,****,****,****,10,1,10,0.36,1718,27,1,1,9,2,****,****,****,****,****,****,0,0,5470,0,0,1,****,****,1,****,****,****,****,1,1,****,****,****,****,****,****,****,****
76,REPLACE,535,gold,2,2,0x00000,0,0,it_gold,0,****,****,****,it_bag,iit_gold_001,0,****,0,****,****,****,0,255,****,****,****,****,17,****,50000,****,5025,26,8,0,17,4,****,****,****,****,****,****,0,0,5471,0,0,0,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
77,REPLACE,965,gem,1,1,0x00000,0,0,it_gem,0,****,****,****,doa_gem,iit_gem_001,0,1,0,****,****,****,0,255,****,****,****,****,17,0,10,1,5024,21,8,0,17,4,****,****,****,****,****,****,0,0,5472,0,0,0,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
78,REPLACE,2194,bracer,2,1,0x00008,0,0,it_bracer,0,1,1,1,doa_bracer,iit_bracer,0,****,2,****,****,****,0,255,****,****,****,****,4,1,1,1,1711,0,8,0,16,0,****,****,****,****,****,2,0,0,5473,0,0,10,****,****,****,****,****,****,****,1,1,100,630,138,668,62,720,506,****
79,REPLACE,2294,miscthin,1,2,0x00000,0,0,it_thnmisc,0,1,1,1,it_bag,iinvalid_1x2,0,1,0,****,****,****,0,255,****,****,****,****,16,1,1,1,1726,29,8,0,15,4,****,****,****,****,****,****,0,0,5474,0,0,5,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
