PATCH_IDX,PATCH_CMD,Label,StrRef,ModelName,LightColor,LightOffsetX,LightOffsetY,LightOffsetZ,SoundAppType,ShadowSize,BodyBag,LowGore,Reflection,Static
31,REPLACE,"Pull Rope / Chain",****,plc_d10,****,****,****,****,29,1,0,****,****,1
32,REPLACE,"Dummy: Archery Target 1",****,plc_f01,****,****,****,****,18,1,0,****,****,1
33,REPLACE,"WarObj: Ballista 1",****,plc_f02,****,****,****,****,18,1,0,****,****,1
34,REPLACE,"WarObj: Ballista 1, Broken",****,plc_f03,****,****,****,****,18,1,0,****,****,1
35,REPLACE,"WarObj: Battering Ram",****,plc_f04,****,****,****,****,18,1,0,****,****,1
36,REPLACE,"WarObj: Battering Ram, Broken",****,plc_f05,****,****,****,****,18,1,0,****,****,1
37,REPLACE,"WarObj: Catapult",****,plc_f06,****,****,****,****,18,1,0,****,****,1
38,REPLACE,"WarObj: Catapult, Broken",****,plc_f07,****,****,****,****,18,1,0,****,****,1
39,REPLACE,"Dummy: Combat 1",****,plc_f08,****,****,****,****,17,1,0,****,****,1
40,REPLACE,"Wagon: Empty 1",****,plc_f09,****,****,****,****,18,1,0,****,****,1
41,REPLACE,"Wagon: Ruined",****,plc_f10,****,****,****,****,18,1,0,****,****,1
42,REPLACE,"Wagon: Full",****,plc_g01,****,****,****,****,18,1,0,****,****,1
43,REPLACE,"Alchemy: Apparatus 1",****,plc_h01,****,****,****,****,18,1,0,****,****,1
44,REPLACE,"Altar: Good",****,plc_h02,****,****,****,****,20,1,0,****,****,1
45,REPLACE,"Altar 1",****,plc_h03,****,****,****,****,20,1,0,****,****,1
46,REPLACE,"Altar 2",****,plc_h04,****,****,****,****,20,1,0,****,****,1
47,REPLACE,"Cage: Animal",****,plc_h05,****,****,****,****,22,1,0,****,****,1
48,REPLACE,"Craft: Anvil",****,plc_h06,****,****,****,****,22,1,0,****,****,1
49,REPLACE,"Barrel 01",****,plc_h07,****,****,****,****,13,1,0,****,****,1
50,REPLACE,"Bed 01",****,plc_h08,****,****,****,****,18,1,0,****,****,1
51,REPLACE,Bedrolls,****,plc_h09,****,****,****,****,23,1,0,****,****,1
52,REPLACE,"Bed 02",****,plc_h10,****,****,****,****,23,1,0,****,****,1
53,REPLACE,Birdcage,****,plc_i01,****,****,****,****,21,1,0,****,****,1
54,REPLACE,Birdbath,****,plc_i02,****,****,****,****,20,1,0,****,****,1
55,REPLACE,"Craft: Bolts of Cloth",****,plc_i03,****,****,****,****,23,1,0,****,****,1
56,REPLACE,"Book Pile 1",****,plc_i04,****,****,****,****,23,1,0,****,****,1
57,REPLACE,"Light: Brazier 1",****,plc_i05,6,0.003989,0.010825,0.874821,21,1,0,****,****,1
58,REPLACE,"Fire: Campfire 1",****,plc_i06,6,0.240711,0.011001,0.194654,17,1,0,****,****,1
59,REPLACE,"Fire: Campfire with Pot 1",****,plc_i07,6,0.240711,0.011001,0.194654,17,1,0,****,****,1
60,REPLACE,"Fire: Campfire with Spit",****,plc_i08,6,0.240711,0.011001,0.194654,21,1,0,****,****,1
61,REPLACE,"Light: Candelabra",****,plc_i09,4,0.003989,0.010825,1.90038,17,1,0,****,****,1
62,REPLACE,"Divining Pool",****,plc_i10,****,****,****,****,32,1,0,****,****,1
63,REPLACE,"Craft: Forge",****,plc_j01,****,****,****,****,26,1,0,****,****,1
64,REPLACE,"Fountain 01",****,plc_j02,****,****,****,****,32,1,0,****,****,1
65,REPLACE,"Light: Torch, Free",****,plc_j03,6,0.003989,-0.10884,3.05147,17,1,0,****,****,1
66,REPLACE,"Mech: Gnomish Contraption",****,plc_j04,****,****,****,****,28,1,0,****,****,1
67,REPLACE,"Music: Gong",****,plc_j05,****,****,****,****,28,1,0,****,****,1
68,REPLACE,"Torture: Hangman's Post",****,plc_j06,****,****,****,****,18,1,0,****,****,1
69,REPLACE,"Farm: Hay Bundle",****,plc_j07,****,****,****,****,23,1,0,****,****,1
70,REPLACE,"Grave: Headstone 01",****,plc_j08,****,****,****,****,26,1,0,****,****,1
71,REPLACE,"Cage: Humanoid",****,plc_j09,****,****,****,****,28,1,0,****,****,1
72,REPLACE,"Tavern: Keg 1",****,plc_j10,****,****,****,****,18,1,0,****,****,1
73,REPLACE,"Light: Lamppost",****,plc_k01,6,0.003989,0.010826,3.87363,22,1,0,****,****,1
74,REPLACE,"Academic: Lectern, Wood",****,plc_k02,****,****,****,****,18,1,0,****,****,1
75,REPLACE,"Art: Painting on Easel",****,plc_k03,****,****,****,****,17,1,0,****,****,1
76,REPLACE,"Pedestal 1",****,plc_k04,****,****,****,****,26,1,0,****,****,1
77,REPLACE,"Bone: Skull Pile 1",****,plc_k05,****,****,****,****,17,1,0,****,****,1
78,REPLACE,"Pillar 01",****,plc_k06,6,0.003989,0.011001,0.573451,26,1,0,****,****,1
79,REPLACE,"Pillar 02",****,plc_k07,****,****,****,****,18,1,0,****,****,1
80,REPLACE,"Pillar 03",****,plc_k08,****,****,****,****,26,1,0,****,****,1
81,REPLACE,"Plant: Grass Tuft 01",****,plc_k09,****,****,****,****,17,1,0,****,****,1
82,REPLACE,"Plant: Shrub",****,plc_k10,****,****,****,****,17,1,0,****,****,1
83,REPLACE,"Plant: Potted",****,plc_l01,****,****,****,****,19,1,0,****,****,1
84,REPLACE,"Rubble 01",****,plc_l02,****,****,****,****,17,1,0,****,****,1
85,REPLACE,"Bag: Sacks 1",****,plc_l03,****,****,****,****,24,1,0,****,****,1
86,REPLACE,"Craft: Sawhorse 1",****,plc_l04,****,****,****,****,17,1,0,****,****,1
87,REPLACE,"Signpost 1",****,plc_l05,****,****,****,****,17,1,0,****,****,1
88,REPLACE,"Signpost 2",****,plc_l06,****,****,****,****,18,1,0,****,****,1
89,REPLACE,"Signpost 3",****,plc_l07,****,****,****,****,18,1,0,****,****,1
90,REPLACE,"Spiderweb Cocoon",****,plc_l08,****,****,****,****,23,1,0,****,****,1
91,REPLACE,"Statue 01",****,plc_l09,****,****,****,****,26,1,0,****,****,1
92,REPLACE,"Statue 02",****,plc_l10,****,****,****,****,26,1,0,****,****,1
93,REPLACE,"Statue: Gargoyle",****,plc_m01,****,****,****,****,26,1,0,****,****,1
94,REPLACE,"Torture: Stocks 1",****,plc_m02,****,****,****,****,18,1,0,****,****,1
95,REPLACE,Stones,****,plc_m03,****,****,****,****,19,1,0,****,****,1
96,REPLACE,"Sundial 1",****,plc_m04,****,****,****,****,26,1,0,****,****,1
97,REPLACE,"Table 01",****,plc_m05,****,****,****,****,18,1,0,****,****,1
98,REPLACE,"Torture: Equipment",****,plc_m06,****,****,****,****,22,1,0,****,****,1
99,REPLACE,"Torture: Equipment with Corpse",****,plc_m07,****,****,****,****,22,1,0,PLC_M06,****,1
100,REPLACE,"Tree 01",****,plc_m08,****,****,****,****,18,1,0,****,****,1
101,REPLACE,"Tree 02",****,plc_m09,****,****,****,****,18,1,0,****,****,1
102,REPLACE,"Urn 1",****,plc_m10,****,****,****,****,20,1,0,****,****,1
103,REPLACE,"Wagon Wheel",****,plc_n01,****,****,****,****,18,1,0,****,****,1
104,REPLACE,"Farm: Trough, Water 1",****,plc_n02,****,****,****,****,17,1,0,****,****,1
105,REPLACE,"Rack: Weapon 1",****,plc_n03,****,****,****,****,18,1,0,****,****,1
106,REPLACE,"Well 1",****,plc_n04,****,****,****,****,26,1,0,****,****,1
107,REPLACE,"Kitchen: Oven, Wood-Burning",****,plc_n05,****,****,****,****,20,1,0,****,****,1
108,REPLACE,"Woodpile 1",****,plc_n06,****,****,****,****,18,1,0,****,****,1
109,REPLACE,"Corpse, Arrow-filled",****,plc_o01,****,****,****,****,33,1,0,PLC_O04,****,1
110,REPLACE,"Corpse 01",****,plc_o02,****,****,****,****,33,1,0,****,****,1
111,REPLACE,"Corpse 02",****,plc_o03,****,****,****,****,33,1,0,****,****,1
112,REPLACE,"Corpse 03",****,plc_o04,****,****,****,****,33,1,0,****,****,1
113,REPLACE,"Corpse 04",****,plc_o05,****,****,****,****,33,1,0,****,****,1
114,REPLACE,"Wagon: Fly-Clad Corpse",****,plc_o06,****,****,****,****,18,1,0,****,****,1
115,REPLACE,"Corpse: Fly-Clad Plague Victim",****,plc_o07,****,****,****,****,33,1,0,****,****,1
116,REPLACE,"Impaled Corpse",****,plc_o08,****,****,****,****,33,1,0,PLC_P04,****,1
117,REPLACE,"Impaled Head",****,plc_o09,****,****,****,****,33,1,0,PLC_P04,****,1
118,REPLACE,"Impaling Spear w/ Monster Corpse",****,plc_o10,****,****,****,****,33,1,0,PLC_P04,****,1
119,REPLACE,"Impaling Spear w/ Monster Head",****,plc_p01,****,****,****,****,33,1,0,PLC_P04,****,1
120,REPLACE,"Plague Victim Pyre",****,plc_p02,****,****,****,****,33,1,0,****,****,1
121,REPLACE,"Corpse, Sword-filled",****,plc_p03,****,****,****,****,33,1,0,PLC_O04,****,1
122,REPLACE,"Banner 01",****,plc_q01,****,****,****,****,23,1,0,****,****,1
123,REPLACE,"Banner 02",****,plc_q02,****,****,****,****,23,1,0,****,****,1
124,REPLACE,"Banner 03",****,plc_q03,****,****,****,****,23,1,0,****,****,1
125,REPLACE,"Banner 04",****,plc_q04,****,****,****,****,23,1,0,****,****,1
126,REPLACE,"Banner 05",****,plc_q05,****,****,****,****,23,1,0,****,****,1
127,REPLACE,"Banner 06",****,plc_q06,****,****,****,****,23,1,0,****,****,1
128,REPLACE,"Banner 07",****,plc_q07,****,****,****,****,23,1,0,****,****,1
129,REPLACE,"Banner 08",****,plc_q08,****,****,****,****,23,1,0,****,****,1
130,REPLACE,"Placard: Merchant 1",****,plc_r01,****,****,****,****,17,1,0,****,****,1
131,REPLACE,"Placard: Merchant 2",****,plc_r02,****,****,****,****,17,1,0,****,****,1
132,REPLACE,"Placard: Merchant 3",****,plc_r03,****,****,****,****,17,1,0,****,****,1
133,REPLACE,"Placard: Merchant 4",****,plc_r04,****,****,****,****,17,1,0,****,****,1
134,REPLACE,"Placard: Merchant 5",****,plc_r05,****,****,****,****,17,1,0,****,****,1
135,REPLACE,"Placard: Merchant 6",****,plc_r06,****,****,****,****,17,1,0,****,****,1
136,REPLACE,"Placard: Merchant 7",****,plc_r07,****,****,****,****,17,1,0,****,****,1
137,REPLACE,"Placard: Merchant 8",****,plc_r08,****,****,****,****,17,1,0,****,****,1
138,REPLACE,"Sign: Merchant Shingle 1",****,plc_s01,****,****,****,****,17,1,0,****,****,1
139,REPLACE,"Sign: Merchant Shingle 2",****,plc_s02,****,****,****,****,17,1,0,****,****,1
140,REPLACE,"Sign: Merchant Shingle 3",****,plc_s03,****,****,****,****,17,1,0,****,****,1
141,REPLACE,"Sign: Merchant Shingle 4",****,plc_s04,****,****,****,****,17,1,0,****,****,1
142,REPLACE,"Sign: Merchant Shingle 5",****,plc_s05,****,****,****,****,17,1,0,****,****,1
143,REPLACE,"Sign: Merchant Shingle 6",****,plc_s06,****,****,****,****,17,1,0,****,****,1
144,REPLACE,"Sign: Merchant Shingle 7",****,plc_s07,****,****,****,****,17,1,0,****,****,1
145,REPLACE,"Sign: Merchant Shingle 8",****,plc_s08,****,****,****,****,17,1,0,****,****,1
146,REPLACE,"Stain: Blood 01",****,plc_t01,****,****,****,****,****,1,0,PLC_W02,****,1
147,REPLACE,"VFX: Butterflies",****,plc_t02,****,****,****,****,****,1,0,****,****,1
148,REPLACE,"VFX: Dust Plume",****,plc_t03,****,****,****,****,****,1,0,****,****,1
149,REPLACE,"VFX: Flame, Yellow Large",****,plc_t04,6,0.003984,0.010825,0.402412,****,1,0,****,****,1
150,REPLACE,"VFX: Flame, Yellow Medium",****,plc_t05,6,0.003984,0.010825,0.551479,****,1,0,****,****,1
151,REPLACE,"VFX: Flame, Yellow Small",****,plc_t06,6,0.003984,0.010825,0.295917,****,1,0,****,****,1
152,REPLACE,"FloorDesign: Style 1",****,plc_t07,29,0.003984,0.010825,0.126938,****,1,0,****,****,1
153,REPLACE,"FloorDesign: Style 2",****,plc_t08,1,0.003984,0.010825,0.160159,****,1,0,****,****,1
154,REPLACE,"FloorDesign: Style 3",****,plc_t09,29,0.003984,0.010825,0.123705,****,1,0,****,****,1
155,REPLACE,"Torture: Shackle, Floor-Anchored",****,plc_t10,****,****,****,****,21,1,0,****,****,1
156,REPLACE,Garbage,****,plc_u01,****,****,****,****,17,1,0,****,****,1
157,REPLACE,"(Invisible Object)",****,plc_u02,****,****,****,****,34,1,0,****,****,1
158,REPLACE,"VFX: Magic Sparks, White",****,plc_u03,2,0.003984,0.010825,4,****,1,0,****,****,1
159,REPLACE,"VFX: Magic Sparks, Blue",****,plc_u04,19,0.003984,0.010825,4,****,1,0,****,****,1
160,REPLACE,"VFX: Magic Sparks, Cyan",****,plc_u05,14,0.003984,0.010825,4,****,1,0,****,****,1
161,REPLACE,"VFX: Magic Sparks, Green",****,plc_u06,11,0.003984,0.010825,4,****,1,0,****,****,1
162,REPLACE,"VFX: Magic Sparks, Yellow",****,plc_u07,7,0.003984,0.010825,4,****,1,0,****,****,1
163,REPLACE,"VFX: Magic Sparks, Orange",****,plc_u08,31,0.003984,0.010825,4,****,1,0,****,****,1
164,REPLACE,"VFX: Magic Sparks, Red",****,plc_u09,27,0.003984,0.010825,4,****,1,0,****,****,1
165,REPLACE,"VFX: Magic Sparks, Purple",****,plc_u10,23,0.003984,0.010825,4,****,1,0,****,****,1
166,REPLACE,"VFX: Shaft of Light, White 1",****,plc_v01,2,0.003984,0.011001,4,****,1,0,****,****,1
167,REPLACE,"VFX: Shaft of Light, Blue 1",****,plc_v02,19,0.003984,0.011001,4,****,1,0,****,****,1
168,REPLACE,"VFX: Shaft of Light, Cyan 1",****,plc_v03,14,0.003984,0.011001,4,****,1,0,****,****,1
169,REPLACE,"VFX: Shaft of Light, Green 1",****,plc_v04,11,0.003984,0.011001,4,****,1,0,****,****,1
170,REPLACE,"VFX: Shaft of Light, Yellow 1",****,plc_v05,7,0.003984,0.011001,4,****,1,0,****,****,1
171,REPLACE,"VFX: Shaft of Light, Orange 1",****,plc_v06,31,0.003984,0.011001,4,****,1,0,****,****,1
172,REPLACE,"VFX: Shaft of Light, Red 1",****,plc_v07,27,0.003984,0.011001,4,****,1,0,****,****,1
173,REPLACE,"VFX: Shaft of Light, Purple 1",****,plc_v08,23,0.003984,0.011001,4,****,1,0,****,****,1
174,REPLACE,Debris,****,plc_v09,****,****,****,****,17,1,0,****,****,1
175,REPLACE,"Carpet: Throw Rug",****,plc_v10,****,****,****,****,23,1,0,****,****,1
176,REPLACE,"Fluid: Water, Drip",****,plc_w01,****,****,****,****,****,1,0,****,****,1
177,REPLACE,"Splotch: Scorch 1",****,plc_w02,****,****,****,****,****,1,0,****,****,1
178,REPLACE,"Bench 01",****,plc_x01,****,****,****,****,17,1,0,****,****,1
179,REPLACE,"Chair 01",****,plc_x02,****,****,****,****,17,1,0,****,****,1
180,REPLACE,Couch,****,plc_x03,****,****,****,****,18,1,0,****,****,1
181,REPLACE,"Chair: Footstool",****,plc_x04,****,****,****,****,17,1,0,****,****,1
182,REPLACE,"Chair: Stool 01",****,plc_x05,****,****,****,****,17,1,0,****,****,1
183,REPLACE,"Chair: Throne, Good",****,plc_x06,****,****,****,****,26,1,0,****,****,1
184,REPLACE,"Chair: Throne 1",****,plc_x07,****,****,****,****,26,1,0,****,****,1
185,REPLACE,Trapdoor,****,plc_c03,****,****,****,****,13,1,0,****,****,1
186,REPLACE,"Bone: Pile 1",****,plc_c04,****,****,****,****,17,1,0,****,****,1
187,REPLACE,"Boulder 01",****,plc_c05,****,****,****,****,26,1,0,****,****,1
188,REPLACE,"Plant: Fern 01",****,plc_c06,****,****,****,****,17,1,0,****,****,1
189,REPLACE,"Treasure: Small",****,plc_c07,****,****,****,****,21,1,0,****,PLC_G_ENV,1
190,REPLACE,"Treasure: Medium",****,plc_c08,****,****,****,****,21,1,0,****,PLC_G_ENV,1
191,REPLACE,"Treasure: Large",****,plc_c09,****,****,****,****,21,1,0,****,PLC_G_ENV,1
192,REPLACE,Spear,****,plc_p04,****,****,****,****,17,1,0,****,****,1
193,REPLACE,"Armor 1",****,gi_armor02,****,****,****,****,7,1,1,****,****,1
194,REPLACE,"Alchemy: Potion 1",****,gi_potion,****,****,****,****,27,1,1,****,****,1
195,REPLACE,"Paper: Scroll 01",****,gi_scrl,****,****,****,****,23,1,1,****,****,1
196,REPLACE,Treasure,****,gi_tresur,****,****,****,****,27,1,1,****,****,1
197,REPLACE,"Armor 2",****,gi_armor01,****,****,****,****,24,1,1,****,****,1
198,REPLACE,"Corpse 05",****,gi_body,****,****,****,****,33,1,1,****,****,1
199,REPLACE,"Bone: Pile 2",****,gi_bones,****,****,****,****,33,1,1,****,****,1
200,REPLACE,"Bag: Pouch",****,gi_pouch,****,****,****,****,23,1,1,****,****,1
201,REPLACE,Doorway,****,plc_c10,****,****,****,****,13,1,0,****,****,1
202,REPLACE,****,****,USER01,****,****,****,****,****,****,****,****,****,1
203,REPLACE,****,****,USER02,****,****,****,****,****,****,****,****,****,1
204,REPLACE,****,****,USER03,****,****,****,****,****,****,****,****,****,1
205,REPLACE,****,****,USER04,****,****,****,****,****,****,****,****,****,1
206,REPLACE,****,****,USER05,****,****,****,****,****,****,****,****,****,1
207,REPLACE,****,****,USER06,****,****,****,****,****,****,****,****,****,1
208,REPLACE,****,****,USER07,****,****,****,****,****,****,****,****,****,1
209,REPLACE,****,****,USER08,****,****,****,****,****,****,****,****,****,1
210,REPLACE,****,****,USER09,****,****,****,****,****,****,****,****,****,1
211,REPLACE,****,****,USER10,****,****,****,****,****,****,****,****,****,1
212,REPLACE,****,****,USER11,****,****,****,****,****,****,****,****,****,1
213,REPLACE,****,****,USER12,****,****,****,****,****,****,****,****,****,1
214,REPLACE,****,****,USER13,****,****,****,****,****,****,****,****,****,1
215,REPLACE,****,****,USER14,****,****,****,****,****,****,****,****,****,1
216,REPLACE,****,****,USER15,****,****,****,****,****,****,****,****,****,1
217,REPLACE,****,****,USER16,****,****,****,****,****,****,****,****,****,1
218,REPLACE,****,****,USER17,****,****,****,****,****,****,****,****,****,1
219,REPLACE,****,****,USER18,****,****,****,****,****,****,****,****,****,1
220,REPLACE,****,****,USER19,****,****,****,****,****,****,****,****,****,1
221,REPLACE,****,****,USER20,****,****,****,****,****,****,****,****,****,1
222,REPLACE,****,****,USER21,****,****,****,****,****,****,****,****,****,1
223,REPLACE,****,****,USER22,****,****,****,****,****,****,****,****,****,1
224,REPLACE,****,****,USER23,****,****,****,****,****,****,****,****,****,1
225,REPLACE,****,****,USER24,****,****,****,****,****,****,****,****,****,1
226,REPLACE,****,****,USER25,****,****,****,****,****,****,****,****,****,1
227,REPLACE,****,****,USER26,****,****,****,****,****,****,****,****,****,1
228,REPLACE,****,****,USER27,****,****,****,****,****,****,****,****,****,1
229,REPLACE,****,****,USER28,****,****,****,****,****,****,****,****,****,1
230,REPLACE,"VFX: Flame, Small 1 (no ambient)",****,plc_t06,****,****,****,****,****,1,0,****,****,1
231,REPLACE,"Bed: Double 1",****,plc_x0_bdb,****,****,****,****,16,1,0,****,****,1
232,REPLACE,"Vase: Flower 1",****,plc_x0_vfl,****,****,****,****,34,1,0,****,****,1
233,REPLACE,"Debris: Fallen Timber",****,plc_x0_tim,****,****,****,****,13,1,0,****,****,1
234,REPLACE,"Kitchen: Cookpot",****,plc_x0_pot,****,****,****,****,28,1,0,****,****,1
235,REPLACE,"Bone: Skulls on Spike",****,plc_x0_skp,****,****,****,****,13,1,0,****,****,1
236,REPLACE,"Obelisk 1",****,plc_x0_obe,****,****,****,****,26,1,0,****,****,1
237,REPLACE,"Rune Circle",****,plc_x0_rcr,29,0.003984,0.010825,0.123705,33,1,0,****,****,1
238,REPLACE,"Rune Stone 1",****,plc_x0_rs1,****,****,****,****,25,1,0,****,****,1
239,REPLACE,"Rune Stone 2",****,plc_x0_rs2,****,****,****,****,25,1,0,****,****,1
240,REPLACE,"Rune Stone 3",****,plc_x0_rs3,****,****,****,****,25,1,0,****,****,1
241,REPLACE,Tracks,****,plc_x0_trk,****,****,****,****,33,1,0,****,****,1
242,REPLACE,"Plant: Cactus, Large",****,plc_x0_clg,****,****,****,****,34,1,0,****,****,1
243,REPLACE,"Statue: Sphinx",****,plc_x0_ssp,****,****,****,****,26,1,0,****,****,1
244,REPLACE,"Carpet: Round, Oriental 1",****,plc_x0_rg4,****,****,****,****,23,1,0,****,****,1
245,REPLACE,"Carpet: Bearskin Rug 1",****,plc_x0_rg5,****,****,****,****,23,1,0,****,****,1
246,REPLACE,"Stone Circle",****,plc_x0_scr,****,****,****,****,26,1,0,****,****,1
247,REPLACE,"Trapdoor: Stone 1",****,plc_x0_tds,****,****,****,****,26,1,0,****,****,1
248,REPLACE,"Grate: Stone",****,plc_x0_grs,****,****,****,****,26,1,0,****,****,1
249,REPLACE,"Furniture, Broken 1",****,plc_x0_bf1,****,****,****,****,17,1,0,****,****,1
250,REPLACE,"Table: Broken 2",****,plc_x0_bt2,****,****,****,****,17,1,0,****,****,1
251,REPLACE,"Furniture, Broken 2",****,plc_x0_bf2,****,****,****,****,17,1,0,****,****,1
252,REPLACE,"Door: Wall, Stone",****,plc_x0_wds,****,****,****,****,26,1,0,****,****,1
253,REPLACE,"Cushions 1",****,plc_x0_cus,****,****,****,****,33,1,0,****,****,1
254,REPLACE,"Tree: Pine, Snowy 1",****,plc_x0_pn1,****,****,****,****,34,1,0,****,****,1
255,REPLACE,"Splotch: Snow Drift 1",****,plc_x0_drf,****,****,****,****,33,1,0,****,****,1
256,REPLACE,"Splotch: Stone",****,plc_x0_spt,****,****,****,****,25,1,0,****,****,1
257,REPLACE,"Splotch: Pebbles",****,plc_x0_peb,****,****,****,****,25,1,0,****,****,1
258,REPLACE,"WallObj: Hanging Shield 1",****,plc_x0_hsh,****,****,****,****,28,1,0,****,****,1
259,REPLACE,"Tree: Pine, Snowy 2",****,plc_x0_pn2,****,****,****,****,34,1,0,****,****,1
260,REPLACE,"Tree: Pine, Snowy 3",****,plc_x0_pn3,****,****,****,****,34,1,0,****,****,1
261,REPLACE,"Ice: Floe",****,plc_x0_ice,****,****,****,****,33,1,0,****,ENV_TTI,1
262,REPLACE,"Splotch: Dirt 01",****,plc_x0_drt,****,****,****,****,33,1,0,****,****,1
263,REPLACE,"WallArt: Painting 01",****,plc_x0_pt1,****,****,****,****,17,1,0,****,****,1
264,REPLACE,"Light: Candelabra (no ambient)",****,plc_i09,****,****,****,****,17,1,0,****,****,1
265,REPLACE,"Light: Torch, Free (no ambient)",****,plc_j03,****,****,****,****,17,1,0,****,****,1
266,REPLACE,"WallArt: Painting 02",****,plc_x0_pt2,****,****,****,****,17,1,0,****,****,1
267,REPLACE,"Soul Jar",****,plc_x0_jar,19,0.003984,0.010825,0.35,17,1,0,****,****,1
268,REPLACE,Mythallar,****,plc_x0_myt,****,****,****,****,26,1,0,****,****,0
269,REPLACE,"Light: Brazier (no ambient)",****,plc_i05,****,****,****,****,21,1,0,****,****,1
270,REPLACE,"Fire: Campfire (no ambient)",****,plc_i06,****,****,****,****,17,1,0,****,****,1
271,REPLACE,"Fire: Campfire with Pot (no ambient)",****,plc_i07,****,****,****,****,17,1,0,****,****,1
272,REPLACE,"Fire: Campfire with Spit (no ambient)",****,plc_i08,****,****,****,****,21,1,0,****,****,1
273,REPLACE,"Light: Lamppost (no ambient)",****,plc_k01,****,****,****,****,22,1,0,****,****,1
274,REPLACE,"Pillar 01 (no ambient)",****,plc_k06,****,****,****,****,26,1,0,****,****,1
275,REPLACE,****,****,USER92,****,****,****,****,****,****,****,****,****,1
276,REPLACE,****,****,USER93,****,****,****,****,****,****,****,****,****,1
277,REPLACE,****,****,USER94,****,****,****,****,****,****,****,****,****,1
278,REPLACE,****,****,USER95,****,****,****,****,****,****,****,****,****,1
279,REPLACE,"Book: Large",****,plc_x0_tme,****,****,****,****,23,1,0,****,****,1
280,REPLACE,"Chair: Large",****,plc_x0_chb,****,****,****,****,17,1,0,****,****,1
281,REPLACE,"Hobby Horse",****,plc_x0_hhr,****,****,****,****,17,1,1,****,****,1
282,REPLACE,"Cauldron 1",****,plc_x0_cau,****,****,****,****,28,1,0,****,****,1
283,REPLACE,"Vase: Large",****,plc_x0_vbg,****,****,****,****,19,1,0,****,****,1
284,REPLACE,Ottoman,****,plc_x0_ott,****,****,****,****,16,1,0,****,****,1
285,REPLACE,"Desk: Library",****,plc_x0_dkl,****,****,****,****,16,1,0,****,****,1
286,REPLACE,"Bed: Elegant",****,plc_x0_bfn,****,****,****,****,16,1,0,****,****,1
287,REPLACE,"Bench: Large",****,plc_x0_ben,****,****,****,****,16,1,0,****,****,1
288,REPLACE,"Desk: Small",****,plc_x0_dks,****,****,****,****,16,1,0,****,****,1
